TagID,Date,Time,accX,accY,accZ,gyroX,gyroY,gyroZ,compX,compY,compZ,Activity,Depth,Temp. (?C),Metadata
02_S5,04/05/2023,16:59:14.000,0.0498,0.9766,0.0632,0.0381,0.6638,-1.6403,246.0778,-51.0838,-20.7254,Active,0,-397.7,
02_S5,04/05/2023,16:59:14.100,0.0505,1.0178,0.0632,-0.2823,1.8158,-2.8610,245.0561,-50.3540,-19.4118,,,,
02_S5,04/05/2023,16:59:14.200,0.0500,1.0188,0.0635,-0.3128,1.8845,-2.9068,245.3480,-50.3540,-20.8714,,,,
02_S5,04/05/2023,16:59:14.300,0.0500,1.0183,0.0640,-0.3204,1.8768,-2.8992,244.7642,-50.3540,-19.9956,,,,
02_S5,04/05/2023,16:59:14.400,0.0505,1.0188,0.0627,-0.3204,1.8768,-2.8992,244.7642,-50.3540,-19.9956,,,,
02_S5,04/05/2023,16:59:14.500,0.0513,1.0193,0.0615,-0.3204,1.8692,-2.9068,244.7642,-50.3540,-19.9956,,,,
02_S5,04/05/2023,16:59:14.600,0.0500,1.0190,0.0635,-0.3128,1.8768,-2.8915,244.4723,-51.5216,-19.4118,,,,
02_S5,04/05/2023,16:59:14.700,0.0488,1.0195,0.0623,-0.3281,1.8845,-2.9068,244.4723,-50.6459,-21.1633,,,,
02_S5,04/05/2023,16:59:14.800,0.0498,1.0198,0.0627,-0.3357,1.8692,-2.9068,244.7642,-51.2297,-19.4118,,,,
02_S5,04/05/2023,16:59:14.900,0.0500,1.0198,0.0652,-0.2975,1.8692,-2.8992,245.2020,-50.4999,-18.9740,,,,
02_S5,04/05/2023,16:59:15.000,0.0500,1.0195,0.0635,-0.3204,1.9150,-2.9068,245.7859,-50.4999,-20.1416,Inactive,0,24.38,
02_S5,04/05/2023,16:59:15.100,0.0500,1.0190,0.0637,-0.3357,1.9150,-2.8992,245.7859,-50.4999,-20.1416,,,,
02_S5,04/05/2023,16:59:15.200,0.0503,1.0190,0.0640,-0.3128,1.8997,-2.8915,244.6182,-49.9161,-20.7254,,,,
02_S5,04/05/2023,16:59:15.300,0.0498,1.0195,0.0640,-0.3357,1.8845,-2.9068,244.6182,-51.0838,-19.5578,,,,
02_S5,04/05/2023,16:59:15.400,0.0498,1.0193,0.0647,-0.3052,1.8539,-2.9068,245.4940,-51.0838,-20.4335,,,,
02_S5,04/05/2023,16:59:15.500,0.0500,1.0190,0.0637,-0.3204,1.8845,-2.8915,245.2020,-51.3757,-20.1416,,,,
02_S5,04/05/2023,16:59:15.600,0.0500,1.0193,0.0630,-0.3052,1.9226,-2.9144,245.2020,-51.3757,-20.1416,,,,
02_S5,04/05/2023,16:59:15.700,0.0493,1.0188,0.0623,-0.3433,1.8997,-2.9068,246.0778,-50.7919,-20.7254,,,,
02_S5,04/05/2023,16:59:15.800,0.0500,1.0190,0.0632,-0.3204,1.8921,-2.8839,244.3263,-50.4999,-19.5578,,,,
02_S5,04/05/2023,16:59:15.900,0.0503,1.0193,0.0635,-0.3433,1.9073,-2.9068,244.3263,-50.4999,-20.1416,,,,
02_S5,04/05/2023,16:59:16.000,0.0500,1.0193,0.0637,-0.3204,1.8921,-2.8992,245.4940,-52.5433,-20.7254,Inactive,0,24.38,
02_S5,04/05/2023,16:59:16.100,0.0496,1.0190,0.0637,-0.3128,1.8692,-2.9068,245.4940,-52.5433,-20.7254,,,,
02_S5,04/05/2023,16:59:16.200,0.0491,1.0188,0.0642,-0.2899,1.8845,-2.8992,245.3480,-51.2297,-21.1633,,,,
02_S5,04/05/2023,16:59:16.300,0.0496,1.0193,0.0657,-0.3204,1.8845,-2.9144,244.3263,-50.4999,-19.8497,,,,
02_S5,04/05/2023,16:59:16.400,0.0498,1.0193,0.0649,-0.3128,1.8692,-2.8763,245.4940,-50.4999,-19.8497,,,,
02_S5,04/05/2023,16:59:16.500,0.0503,1.0195,0.0645,-0.2975,1.8768,-2.8839,244.6182,-49.9161,-18.9740,,,,
02_S5,04/05/2023,16:59:16.600,0.0500,1.0190,0.0635,-0.3128,1.8768,-2.8915,244.6182,-49.9161,-18.9740,,,,
02_S5,04/05/2023,16:59:16.700,0.0498,1.0188,0.0642,-0.3204,1.8845,-2.8839,245.7859,-51.6676,-19.8497,,,,
02_S5,04/05/2023,16:59:16.800,0.0498,1.0195,0.0640,-0.3128,1.9150,-2.8992,245.3480,-50.9378,-20.2876,,,,
02_S5,04/05/2023,16:59:16.900,0.0503,1.0178,0.0647,-0.3433,1.8845,-2.8992,244.6182,-51.6676,-18.3902,,,,
02_S5,04/05/2023,16:59:17.000,0.0503,1.0190,0.0647,-0.3128,1.8768,-2.8915,245.2020,-50.7919,-19.8497,Inactive,0,24.4,
02_S5,04/05/2023,16:59:17.100,0.0491,1.0193,0.0632,-0.2899,1.8845,-2.8992,245.7859,-51.0838,-20.7254,,,,
02_S5,04/05/2023,16:59:17.200,0.0498,1.0198,0.0632,-0.3128,1.8387,-2.9221,245.7859,-51.0838,-20.7254,,,,
02_S5,04/05/2023,16:59:17.300,0.0498,1.0188,0.0640,-0.2975,1.8387,-2.9068,245.9318,-50.9378,-19.7037,,,,
02_S5,04/05/2023,16:59:17.400,0.0500,1.0195,0.0649,-0.3204,1.8692,-2.9068,244.9101,-49.9161,-20.4335,,,,
02_S5,04/05/2023,16:59:17.500,0.0500,1.0190,0.0632,-0.3052,1.8768,-2.8992,245.3480,-50.3540,-20.2876,,,,
02_S5,04/05/2023,16:59:17.600,0.0505,1.0190,0.0635,-0.3357,1.8616,-2.8915,245.4940,-51.3757,-20.1416,,,,
02_S5,04/05/2023,16:59:17.700,0.0500,1.0195,0.0625,-0.3204,1.8616,-2.9068,245.4940,-51.3757,-20.1416,,,,
02_S5,04/05/2023,16:59:17.800,0.0496,1.0186,0.0640,-0.3052,1.8768,-2.8915,246.2237,-51.8135,-20.5795,,,,
02_S5,04/05/2023,16:59:17.900,0.0498,1.0188,0.0642,-0.3052,1.8616,-2.8992,245.3480,-50.9378,-19.9956,,,,
02_S5,04/05/2023,16:59:18.000,0.0498,1.0193,0.0642,-0.2899,1.8616,-2.9144,245.6399,-50.6459,-21.1633,Inactive,0,24.4,
02_S5,04/05/2023,16:59:18.100,0.0503,1.0198,0.0647,-0.2975,1.8768,-2.9144,245.6399,-50.6459,-19.7037,,,,
02_S5,04/05/2023,16:59:18.200,0.0503,1.0190,0.0620,-0.2823,1.8616,-2.8915,245.6399,-50.6459,-19.7037,,,,
02_S5,04/05/2023,16:59:18.300,0.0491,1.0198,0.0645,-0.2747,1.8616,-2.9144,244.3263,-51.9595,-20.1416,,,,
02_S5,04/05/2023,16:59:18.400,0.0500,1.0190,0.0630,-0.3357,1.8539,-2.8992,245.7859,-50.7919,-19.8497,,,,
02_S5,04/05/2023,16:59:18.500,0.0493,1.0188,0.0637,-0.3281,1.8463,-2.8992,245.2020,-50.2080,-19.2659,,,,
02_S5,04/05/2023,16:59:18.600,0.0503,1.0195,0.0635,-0.3281,1.8311,-2.9068,245.3480,-50.9378,-19.7037,,,,
02_S5,04/05/2023,16:59:18.700,0.0496,1.0195,0.0613,-0.2975,1.8768,-2.8992,245.3480,-50.9378,-19.7037,,,,
02_S5,04/05/2023,16:59:18.800,0.0496,1.0198,0.0640,-0.3052,1.8692,-2.8687,245.0561,-51.8135,-19.1199,,,,
02_S5,04/05/2023,16:59:18.900,0.0496,1.0193,0.0647,-0.3281,1.8616,-2.9144,246.5156,-50.3540,-19.7037,,,,
02_S5,04/05/2023,16:59:19.000,0.0503,1.0186,0.0630,-0.3052,1.8616,-2.8915,245.4940,-51.0838,-20.7254,Inactive,0,24.38,
02_S5,04/05/2023,16:59:19.100,0.0500,1.0188,0.0654,-0.3357,1.8768,-2.8763,245.3480,-52.3973,-21.1633,,,,
02_S5,04/05/2023,16:59:19.200,0.0505,1.0193,0.0647,-0.3204,1.8463,-2.9221,245.4940,-50.4999,-19.2659,,,,
