TagID,Date,Time,accX,accY,accZ,gyroX,gyroY,gyroZ,compX,compY,compZ,Activity,Depth,Temp. (?C),Metadata
02_S6,04/05/2023,16:59:14.000,-0.0005,-0.9358,0.0935,-0.6409,0.6943,-1.6556,-81.0042,-50.6459,-12.4061,Active,0,-397.7,
02_S6,04/05/2023,16:59:14.100,-0.0015,-0.9768,0.0959,-0.3281,1.7700,-2.8687,-79.9826,-49.9161,-11.3844,,,,
02_S6,04/05/2023,16:59:14.200,-0.0024,-0.9783,0.0969,-0.5035,1.8768,-2.8992,-80.4204,-49.4783,-11.5303,,,,
02_S6,04/05/2023,16:59:14.300,-0.0017,-0.9771,0.0974,-0.1602,1.8845,-2.9373,-79.8366,-50.6459,-11.8222,,,,
02_S6,04/05/2023,16:59:14.400,-0.0020,-0.9773,0.0974,-0.2060,1.8692,-2.9297,-79.8366,-50.6459,-11.8222,,,,
02_S6,04/05/2023,16:59:14.500,-0.0024,-0.9775,0.0977,-0.2594,1.8539,-2.9144,-79.8366,-50.6459,-11.8222,,,,
02_S6,04/05/2023,16:59:14.600,-0.0024,-0.9790,0.0947,-0.6943,1.8768,-2.9297,-80.1285,-49.4783,-12.9899,,,,
02_S6,04/05/2023,16:59:14.700,-0.0029,-0.9778,0.0977,-0.0916,1.8845,-2.9526,-81.4421,-50.4999,-11.0925,,,,
02_S6,04/05/2023,16:59:14.800,-0.0032,-0.9775,0.0984,-0.3815,1.8845,-2.9373,-79.3988,-49.9161,-11.6763,,,,
02_S6,04/05/2023,16:59:14.900,-0.0027,-0.9778,0.0986,-0.2289,1.8463,-2.9297,-80.4204,-50.0621,-12.1141,,,,
02_S6,04/05/2023,16:59:15.000,-0.0017,-0.9783,0.0972,-0.1602,1.8539,-2.9297,-79.5447,-49.4783,-12.4061,Inactive,0,24.13,
02_S6,04/05/2023,16:59:15.100,-0.0022,-0.9788,0.0972,-0.2747,1.8616,-2.9526,-79.5447,-49.4783,-12.4061,,,,
02_S6,04/05/2023,16:59:15.200,-0.0027,-0.9792,0.0969,-0.3357,1.8616,-2.9297,-78.9609,-49.1864,-10.6546,,,,
02_S6,04/05/2023,16:59:15.300,-0.0034,-0.9780,0.0977,-0.1678,1.8768,-2.9297,-80.1285,-49.1864,-12.1141,,,,
02_S6,04/05/2023,16:59:15.400,-0.0034,-0.9788,0.0957,-0.5951,1.8768,-2.9068,-79.5447,-49.1864,-11.8222,,,,
02_S6,04/05/2023,16:59:15.500,-0.0027,-0.9780,0.0972,0.0305,1.8387,-2.9144,-80.2745,-50.2080,-10.5087,,,,
