TagID;Date;Time;accX;accY;accZ;gyroX;gyroY;gyroZ;compX;compY;compZ;Activity;Depth;Temp. (?C);Metadata
04_S10;04/05/2023;16:19:26.000;-0.0210;0.0093;10.090;230.331;84.839;-22.659;507.919;-642.196;230.607;Active;715.719.767.635.148;-368.68;
04_S10;04/05/2023;16:19:26.100;-0.0332;0.0813;10.320;367.889;148.087;-0.1068;471.430;-620.303;258.338;;;;
04_S10;04/05/2023;16:19:26.200;-0.0322;0.2048;10.498;651.245;70.953;-10.071;437.861;-613.005;277.312;;;;
04_S10;04/05/2023;16:19:26.300;-0.0759;0.3022;0.9651;677.872;61.340;-61.264;404.291;-614.465;299.205;;;;
04_S10;04/05/2023;16:19:26.400;-0.0613;0.3118;0.9756;399.933;13.504;-0.7706;404.291;-614.465;299.205;;;;
04_S10;04/05/2023;16:19:26.500;-0.0466;0.3213;0.9863;121.918;-34.332;45.853;404.291;-614.465;299.205;;;;
04_S10;04/05/2023;16:19:26.600;-0.0439;0.3647;0.9666;297.623;16.937;26.855;380.939;-623.222;293.367;;;;
04_S10;04/05/2023;16:19:26.700;-0.0500;0.4556;0.9294;474.472;48.370;-28.458;345.910;-620.303;290.448;;;;
04_S10;04/05/2023;16:19:26.800;-0.0537;0.5386;0.8896;605.469;57.068;-67.062;300.664;-601.329;309.422;;;;
04_S10;04/05/2023;16:19:26.900;-0.0688;0.6526;0.7373;1.180.649;-51.270;-16.785;218.930;-613.005;300.664;;;;
04_S10;04/05/2023;16:19:27.000;-0.0271;0.8538;0.5728;1.264.420;-95.825;120.087;218.930;-613.005;300.664;Inactive;0;22.97;
04_S10;04/05/2023;16:19:27.100;-0.0142;0.9412;0.4478;899.048;-83.694;42.419;129.899;-623.222;249.581;;;;
04_S10;04/05/2023;16:19:27.200;-0.0303;0.9531;0.3298;611.725;43.411;-99.106;71.517;-629.060;220.390;;;;
04_S10;04/05/2023;16:19:27.300;-0.0374;0.9915;0.2261;597.153;-16.403;-80.032;40.867;-615.924;195.578;;;;
04_S10;04/05/2023;16:19:27.400;-0.0547;10.181;0.1006;710.144;-39.520;-77.972;21.893;-634.898;144.494;;;;
