TagID;Date;Time;accX;accY;accZ;gyroX;gyroY;gyroZ;compX;compY;compZ;Activity;Depth;Temp. (?C);Metadata
04_S11;04/05/2023;16:19:26.000;0.1060;0.4136;0.8889;-183.868;-101.700;-78.964;-77.355;-13.136;-153.251;Active;692.442.631.300.004;-368.68;
04_S11;04/05/2023;16:19:26.100;0.1365;0.3816;0.9463;-438.766;-186.539;-138.168;-46.705;-20.434;-131.358;;;;
04_S11;04/05/2023;16:19:26.200;0.1538;0.2805;0.9932;-515.594;39.673;-31.281;-24.812;-36.488;-103.627;;;;
04_S11;04/05/2023;16:19:26.300;0.0991;0.2073;10.237;-756.378;137.100;-113.297;0.8757;-14.595;-70.058;;;;
04_S11;04/05/2023;16:19:26.400;0.1042;0.1260;10.332;-694.199;163.345;-149.994;0.8757;-14.595;-70.058;;;;
04_S11;04/05/2023;16:19:26.500;0.1096;0.0444;10.427;-631.943;189.667;-186.768;0.8757;-14.595;-70.058;;;;
04_S11;04/05/2023;16:19:26.600;0.0288;-0.0505;10.327;-552.216;106.735;-86.670;70.058;-11.676;-52.543;;;;
04_S11;04/05/2023;16:19:26.700;0.0583;-0.0708;10.032;-434.418;0.8011;-0.4349;89.032;-0.4379;-18.974;;;;
04_S11;04/05/2023;16:19:26.800;0.0847;-0.2297;10.022;-569.916;-183.716;-22.507;129.899;-13.136;-27.731;;;;
04_S11;04/05/2023;16:19:26.900;0.1218;-0.3081;0.9951;-530.090;-137.482;222.778;162.008;-21.893;-0.1460;;;;
04_S11;04/05/2023;16:19:27.000;0.1128;-0.3630;0.9795;-510.406;-66.528;169.373;162.008;-21.893;-0.1460;Inactive;0;23.85;
04_S11;04/05/2023;16:19:27.100;0.0691;-0.4768;0.9055;-727.768;203.094;44.174;197.037;-24.812;-0.7298;;;;
04_S11;04/05/2023;16:19:27.200;0.0879;-0.6650;0.7903;-1.047.592;75.836;-93.842;271.474;-0.8757;0.2919;;;;
04_S11;04/05/2023;16:19:27.300;0.1064;-0.7480;0.6919;-842.133;76.447;-251.312;341.531;0.2919;-23.353;;;;
04_S11;04/05/2023;16:19:27.400;0.1125;-0.8354;0.5657;-984.497;-0.5646;-20.905;399.913;-0.2919;-64.220;;;;
04_S11;04/05/2023;16:19:27.500;0.1135;-0.9231;0.3821;-1.064.301;50.964;124.664;399.913;-0.2919;-64.220;;;;
04_S11;04/05/2023;16:19:27.600;0.0813;-0.9333;0.2932;-698.624;261.765;-0.7629;459.754;0.1460;-112.384;;;;
04_S11;04/05/2023;16:19:27.700;0.1064;-0.9595;0.1836;-609.055;512.848;-208.969;483.106;16.055;-150.332;;;;
04_S11;04/05/2023;16:19:27.800;0.1230;-0.9658;0.0955;-481.186;648.117;-144.958;516.676;23.353;-210.173;;;;
04_S11;04/05/2023;16:19:27.900;0.1294;-0.9751;0.1096;-458.221;684.052;-45.547;523.973;45.246;-246.662;;;;
04_S11;04/05/2023;16:19:28.000;0.0872;-0.9661;0.0349;-67.749;708.084;80.643;523.973;45.246;-246.662;Inactive;0;23.82;
04_S11;04/05/2023;16:19:28.100;0.1243;-10.632;0.0127;-144.730;507.736;166.931;523.973;54.003;-261.257;;;;
04_S11;04/05/2023;16:19:28.200;0.0200;-0.9646;0.0291;-224.380;154.037;442.886;510.838;84.653;-288.988;;;;
04_S11;04/05/2023;16:19:28.300;0.0127;-10.056;-0.0474;-109.406;510.178;63.782;513.757;105.087;-326.936;;;;
04_S11;04/05/2023;16:19:28.400;-0.0029;-0.9844;-0.0354;-14.801;310.974;49.820;516.676;96.329;-332.774;;;;
04_S11;04/05/2023;16:19:28.500;-0.0540;-0.9890;-0.0129;125.656;176.926;145.111;516.676;96.329;-332.774;;;;
04_S11;04/05/2023;16:19:28.600;-0.0212;-10.200;0.0078;288.925;284.119;57.678;500.621;115.303;-334.234;;;;
04_S11;04/05/2023;16:19:28.700;-0.0637;-0.9963;0.0759;226.517;41.580;189.972;490.404;131.358;-321.098;;;;
04_S11;04/05/2023;16:19:28.800;-0.0774;-0.9883;0.0173;-527.115;-81.940;97.733;504.999;122.601;-326.936;;;;
04_S11;04/05/2023;16:19:28.900;-0.1992;-0.8594;-0.3557;-2.295.456;-626.602;593.567;504.999;122.601;-326.936;;;;
04_S11;04/05/2023;16:19:29.000;-0.2410;-0.7559;-0.4197;-749.283;-123.596;253.601;449.537;157.630;-411.589;Inactive;0;23.82;
04_S11;04/05/2023;16:19:29.100;-0.1694;-0.8120;-0.5225;-118.561;683.746;-193.939;436.401;144.494;-450.997;;;;
04_S11;04/05/2023;16:19:29.200;-0.1851;-0.7751;-0.6052;-391.006;207.367;138.321;420.346;151.792;-490.404;;;;
04_S11;04/05/2023;16:19:29.300;-0.1880;-0.7102;-0.5984;-141.449;251.541;60.043;423.265;140.115;-504.999;;;;
04_S11;04/05/2023;16:19:29.400;-0.1357;-0.7236;-0.6553;-299.683;135.193;96.436;423.265;140.115;-504.999;;;;
04_S11;04/05/2023;16:19:29.500;-0.1248;-0.6619;-0.7051;-322.723;302.811;-21.439;405.751;134.277;-534.190;;;;
04_S11;04/05/2023;16:19:29.600;-0.0698;-0.6562;-0.7229;-303.574;170.135;0.7935;395.534;126.980;-561.921;;;;
04_S11;04/05/2023;16:19:29.700;-0.0828;-0.5447;-0.7820;-636.749;90.408;86.517;372.182;126.980;-582.355;;;;
04_S11;04/05/2023;16:19:29.800;-0.0835;-0.4841;-0.8616;-541.000;207.443;82.169;335.693;125.520;-598.410;;;;
04_S11;04/05/2023;16:19:29.900;-0.0991;-0.4146;-0.8613;-280.304;78.201;168.228;335.693;125.520;-598.410;;;;
04_S11;04/05/2023;16:19:30.000;-0.1616;-0.0793;-0.9250;-1.349.030;-262.756;131.226;243.743;150.332;-605.707;Inactive;0;23.81;
04_S11;04/05/2023;16:19:30.100;-0.1799;0.0396;-0.9426;-682.449;-53.329;70.801;189.740;151.792;-607.167;;;;
04_S11;04/05/2023;16:19:30.200;-0.1704;0.1736;-0.9534;-749.054;88.272;146.561;150.332;144.494;-596.950;;;;
04_S11;04/05/2023;16:19:30.300;-0.1487;0.3386;-0.9290;-978.928;107.040;201.950;150.332;144.494;-596.950;;;;
04_S11;04/05/2023;16:19:30.400;-0.1187;0.4932;-0.8447;-1.070.480;46.158;173.111;87.572;143.035;-572.138;;;;
04_S11;04/05/2023;16:19:30.500;-0.0906;0.6226;-0.7598;-741.425;88.348;195.007;30.650;132.818;-547.326;;;;
04_S11;04/05/2023;16:19:30.600;-0.0879;0.7266;-0.6731;-777.893;86.823;115.662;-0.2919;131.358;-522.514;;;;
04_S11;04/05/2023;16:19:30.700;-0.0662;0.7971;-0.5884;-715.332;78.201;-0.7248;-30.650;109.465;-474.349;;;;
04_S11;04/05/2023;16:19:30.800;-0.0835;0.8748;-0.4829;-820.618;64.850;-35.400;-30.650;109.465;-474.349;;;;
04_S11;04/05/2023;16:19:30.900;-0.1113;0.9446;-0.3979;-539.169;-76.675;-183.563;-42.327;112.384;-445.158;;;;
04_S11;04/05/2023;16:19:31.000;-0.1917;0.9263;-0.2908;-421.143;-196.228;-351.639;-30.650;141.575;-404.291;Inactive;0;23.84;
04_S11;04/05/2023;16:19:31.100;-0.1958;0.9297;-0.1885;-692.825;-126.038;-252.686;-23.353;145.954;-361.965;;;;
04_S11;04/05/2023;16:19:31.200;-0.1931;0.9980;-0.1079;-768.661;-35.629;271.835;-32.110;137.196;-318.179;;;;
04_S11;04/05/2023;16:19:31.300;-0.1501;10.049;0.0386;-782.166;-233.841;122.070;-32.110;137.196;-318.179;;;;
04_S11;04/05/2023;16:19:31.400;-0.1460;0.9370;0.2292;-813.370;-440.826;-12.512;-29.191;131.358;-251.040;;;;
04_S11;04/05/2023;16:19:31.500;-0.1809;0.9094;0.3831;-920.868;-336.914;-167.084;10.217;132.818;-191.199;;;;
04_S11;04/05/2023;16:19:31.600;-0.1721;0.8838;0.4983;-577.545;-266.876;-149.918;40.867;131.358;-145.954;;;;
04_S11;04/05/2023;16:19:31.700;-0.1921;0.8247;0.5530;-365.295;-186.157;-214.615;67.139;128.439;-122.601;;;;
04_S11;04/05/2023;16:19:31.800;-0.1689;0.8022;0.6389;-477.448;-152.664;47.302;67.139;128.439;-122.601;;;;
04_S11;04/05/2023;16:19:31.900;-0.1804;0.7170;0.7031;-566.406;-106.430;44.785;87.572;119.682;-102.168;;;;
04_S11;04/05/2023;16:19:32.000;-0.1372;0.6438;0.7725;-527.954;-241.241;-73.090;124.061;115.303;-74.436;Inactive;0;23.84;
04_S11;04/05/2023;16:19:32.100;-0.1138;0.6042;0.8313;-537.262;-219.193;-255.356;164.928;89.032;-59.841;;;;
04_S11;04/05/2023;16:19:32.200;-0.1206;0.5051;0.8992;-623.093;-178.452;-289.459;207.254;78.815;-46.705;;;;
04_S11;04/05/2023;16:19:32.300;-0.1331;0.4055;0.9404;-555.191;-46.616;-316.544;207.254;78.815;-46.705;;;;
04_S11;04/05/2023;16:19:32.400;-0.1362;0.3376;0.9189;-695.801;-12.589;-390.015;259.797;72.977;-37.948;;;;
04_S11;04/05/2023;16:19:32.500;-0.1514;-0.0730;0.9092;-1.850.815;-131.302;-203.476;367.803;67.139;-67.139;;;;
04_S11;04/05/2023;16:19:32.600;-0.1255;-0.7095;0.9243;-2.500.000;-241.394;-325.928;512.297;45.246;-208.714;;;;
04_S11;04/05/2023;16:19:32.700;-0.0906;-0.5825;0.8838;-308.380;180.893;-223.923;512.297;45.246;-208.714;;;;
04_S11;04/05/2023;16:19:32.800;-0.1875;-0.6187;0.8357;-519.333;713.806;-319.595;531.271;23.353;-233.526;;;;
04_S11;04/05/2023;16:19:32.900;-0.1309;-0.7617;0.5972;-1.054.993;1.025.467;-506.134;554.624;14.595;-294.826;;;;
04_S11;04/05/2023;16:19:33.000;-0.1494;-0.8508;0.4602;-795.746;753.860;-280.609;557.543;-23.353;-388.237;Inactive;0;23.85;
04_S11;04/05/2023;16:19:33.100;-0.2131;-0.9019;0.3535;-582.581;550.232;-0.9308;556.083;-30.650;-450.997;;;;
04_S11;04/05/2023;16:19:33.200;-0.2327;-0.9358;0.2419;-645.828;201.111;-76.141;556.083;-30.650;-450.997;;;;
04_S11;04/05/2023;16:19:33.300;-0.2109;-0.9666;0.1375;-758.133;44.556;-136.948;553.164;-39.407;-486.025;;;;
04_S11;04/05/2023;16:19:33.400;-0.1836;-0.9800;-0.0154;-781.250;108.490;-152.130;512.297;-42.327;-547.326;;;;
04_S11;04/05/2023;16:19:33.500;-0.1477;-0.9663;-0.0850;-460.892;47.913;-130.081;484.566;-61.301;-589.653;;;;
04_S11;04/05/2023;16:19:33.600;-0.1445;-0.9548;-0.1619;-390.701;60.806;-47.836;469.971;-70.058;-604.248;;;;
04_S11;04/05/2023;16:19:33.700;-0.1414;-0.9402;-0.2109;-386.505;50.964;-0.0153;469.971;-70.058;-604.248;;;;
04_S11;04/05/2023;16:19:33.800;-0.1304;-0.9302;-0.3555;-705.490;116.043;0.3128;442.239;-62.760;-626.141;;;;
04_S11;04/05/2023;16:19:33.900;-0.1326;-0.8723;-0.4348;-668.106;115.433;41.275;391.156;-81.734;-668.467;;;;
04_S11;04/05/2023;16:19:34.000;-0.1279;-0.7827;-0.5261;-724.792;191.803;55.084;357.586;-80.274;-672.846;Inactive;0;23.87;
04_S11;04/05/2023;16:19:34.100;-0.1118;-0.6919;-0.6365;-805.511;186.768;20.752;290.448;-94.870;-704.956;;;;
04_S11;04/05/2023;16:19:34.200;-0.0881;-0.6267;-0.7397;-663.223;200.653;32.196;290.448;-94.870;-704.956;;;;
04_S11;04/05/2023;16:19:34.300;-0.0664;-0.5251;-0.8196;-647.049;169.525;15.335;237.904;-109.465;-713.713;;;;
04_S11;04/05/2023;16:19:34.400;-0.0383;-0.4377;-0.8882;-597.687;189.667;41.885;197.037;-115.303;-699.118;;;;
04_S11;04/05/2023;16:19:34.500;-0.0347;-0.4243;-0.9028;-276.260;107.193;111.237;164.928;-135.737;-707.875;;;;
04_S11;04/05/2023;16:19:34.600;-0.0671;-0.2993;-0.9146;-416.489;62.103;297.165;150.332;-141.575;-704.956;;;;
