TagID,Date,Time,accX,accY,accZ,gyroX,gyroY,gyroZ,compX,compY,compZ,Activity,Depth,Temp. (?C),Metadata
04_S8,04/05/2023,16:59:14.000,-0.0496,-0.1030,-0.9280,-22.3389,2.4643,2.7161,28.4610,-52.9812,-34.8829,Active,8.9288463863033,-368.68,
04_S8,04/05/2023,16:59:14.100,-0.0393,-0.0259,-0.9724,-54.9927,8.2245,8.9645,27.4393,-53.1271,-34.1531,,,,
04_S8,04/05/2023,16:59:14.200,-0.0320,0.0625,-0.9697,-57.1518,-2.2049,1.8005,23.6445,-53.1271,-33.2774,,,,
04_S8,04/05/2023,16:59:14.300,-0.0542,0.1208,-0.9763,-44.3802,-9.1476,-12.0544,19.2659,-52.5433,-33.5693,,,,
04_S8,04/05/2023,16:59:14.400,-0.0623,0.1643,-0.9639,-41.6260,-3.4714,-9.2926,19.2659,-52.5433,-33.5693,,,,
04_S8,04/05/2023,16:59:14.500,-0.0706,0.2080,-0.9512,-38.8718,2.2049,-6.5308,19.2659,-52.5433,-33.5693,,,,
04_S8,04/05/2023,16:59:14.600,-0.0439,0.2686,-0.9653,-36.7203,10.9863,-0.2670,17.0766,-52.6892,-33.7153,,,,
04_S8,04/05/2023,16:59:14.700,-0.0471,0.3372,-0.9324,-40.9698,4.1504,1.5030,14.7413,-52.9812,-31.9638,,,,
04_S8,04/05/2023,16:59:14.800,-0.0593,0.4138,-0.8977,-49.4766,-5.2948,-0.4883,12.1141,-52.9812,-31.3800,,,,
04_S8,04/05/2023,16:59:14.900,-0.0725,0.4829,-0.8508,-46.3562,-8.6899,-0.8163,8.4653,-53.1271,-28.8988,,,,
04_S8,04/05/2023,16:59:15.000,-0.0747,0.5425,-0.8159,-40.3061,-3.2349,3.8300,8.4653,-53.1271,-28.8988,Inactive,0,24.31,
04_S8,04/05/2023,16:59:15.100,-0.0847,0.5964,-0.7839,-36.9568,-1.5335,3.8071,6.5679,-52.6892,-26.7095,,,,
04_S8,04/05/2023,16:59:15.200,-0.0769,0.6536,-0.7317,-41.9083,-1.9989,6.3095,4.5246,-52.3973,-27.5852,,,,
04_S8,04/05/2023,16:59:15.300,-0.0732,0.7219,-0.6726,-57.9529,4.9515,6.2790,2.1893,-52.6892,-23.4985,,,,
04_S8,04/05/2023,16:59:15.400,-0.0681,0.7686,-0.6375,-33.1421,5.6229,1.1597,0.4379,-52.3973,-22.3309,,,,
04_S8,04/05/2023,16:59:15.500,-0.0696,0.8086,-0.6011,-32.4249,3.3646,2.2202,0.4379,-52.3973,-22.3309,,,,
04_S8,04/05/2023,16:59:15.600,-0.0452,0.8538,-0.5210,-55.2673,9.6054,2.7618,0.1460,-53.2731,-19.9956,,,,
04_S8,04/05/2023,16:59:15.700,-0.0486,0.9053,-0.4392,-54.6112,3.9825,1.0071,-1.7514,-54.2947,-15.4711,,,,
04_S8,04/05/2023,16:59:15.800,-0.0469,0.9189,-0.3779,-36.8881,2.4033,-2.2430,-3.7948,-53.1271,-12.8439,,,,
04_S8,04/05/2023,16:59:15.900,-0.0583,0.9553,-0.3333,-31.3492,5.6229,-2.0142,-3.5029,-53.1271,-10.2168,,,,
04_S8,04/05/2023,16:59:16.000,-0.0505,0.9624,-0.2617,-31.7917,4.5319,-0.2518,-3.5029,-53.1271,-10.2168,Inactive,0,24.36,
04_S8,04/05/2023,16:59:16.100,-0.0774,0.9685,-0.2188,-54.1992,4.8676,-13.7024,-4.8165,-54.1488,-8.6113,,,,
04_S8,04/05/2023,16:59:16.200,-0.1040,0.9900,-0.0325,-76.7517,-8.9645,-11.6577,-5.6922,-52.6892,-2.4812,,,,
04_S8,04/05/2023,16:59:16.300,-0.0972,1.0054,0.0151,-35.7971,5.9509,0.7858,-4.3786,-51.0838,0.0000,,,,
04_S8,04/05/2023,16:59:16.400,-0.1047,0.9868,0.0400,-35.3012,9.6130,-0.7553,-5.6922,-52.1054,3.0650,,,,
04_S8,04/05/2023,16:59:16.500,-0.0925,0.9907,0.1702,-48.7442,4.9744,8.4000,-5.6922,-52.1054,3.0650,,,,
04_S8,04/05/2023,16:59:16.600,-0.0793,0.9998,0.1975,-22.9340,1.4114,2.7695,-3.2110,-51.6676,6.1301,,,,
04_S8,04/05/2023,16:59:16.700,-0.0928,0.9700,0.2251,-32.8293,-2.4033,-3.0746,-3.5029,-53.4190,7.5896,,,,
04_S8,04/05/2023,16:59:16.800,-0.0906,0.9524,0.3354,-39.5813,-13.3209,-2.6703,-2.4812,-51.8135,8.9032,,,,
04_S8,04/05/2023,16:59:16.900,-0.0830,0.9585,0.3652,-29.8996,-1.7853,-0.6561,-2.4812,-51.8135,8.9032,,,,
04_S8,04/05/2023,16:59:17.000,-0.0857,0.9417,0.4272,-33.1268,-2.8229,2.4567,-2.6272,-52.5433,10.8006,Inactive,0,24.37,
04_S8,04/05/2023,16:59:17.100,-0.0759,0.9326,0.4619,-23.7122,12.4207,11.0550,-0.2919,-52.8352,12.5520,,,,
04_S8,04/05/2023,16:59:17.200,-0.0698,0.8933,0.4922,-29.7775,17.2195,11.2915,1.4595,-53.4190,16.3468,,,,
04_S8,04/05/2023,16:59:17.300,-0.0654,0.8435,0.5303,-24.5590,2.0065,15.3809,2.4812,-53.5650,17.9523,,,,
04_S8,04/05/2023,16:59:17.400,0.0081,0.8855,0.5757,-17.0670,-19.9585,27.3056,2.4812,-53.5650,17.9523,,,,
04_S8,04/05/2023,16:59:17.500,0.0234,0.8462,0.6206,-37.1857,5.4855,2.7924,3.5029,-55.7543,17.5144,,,,
04_S8,04/05/2023,16:59:17.600,0.0071,0.7485,0.6975,-68.7866,10.2997,2.9907,6.7139,-54.0028,19.8497,,,,
04_S8,04/05/2023,16:59:17.700,0.0027,0.6584,0.7805,-80.9402,14.8773,12.9089,9.6329,-54.5866,24.5202,,,,
04_S8,04/05/2023,16:59:17.800,0.0088,0.5847,0.8660,-54.9393,-6.0196,6.5460,14.8873,-55.4624,25.9797,,,,
04_S8,04/05/2023,16:59:17.900,0.0442,0.5137,0.9111,-49.4308,-20.0729,-8.1787,14.8873,-55.4624,25.9797,,,,
04_S8,04/05/2023,16:59:18.000,0.0603,0.4683,0.9148,-25.5203,-5.7602,-3.1128,16.6387,-56.6300,26.8555,Inactive,0,24.4,
04_S8,04/05/2023,16:59:18.100,0.0442,0.4248,0.9463,-30.6625,6.9046,-7.2174,17.2225,-56.3381,26.5636,,,,
04_S8,04/05/2023,16:59:18.200,-0.0386,0.3540,1.0127,-52.6657,41.6183,-7.8278,21.4552,-54.1488,27.8771,,,,
04_S8,04/05/2023,16:59:18.300,-0.0242,0.2803,1.0017,-52.0096,2.9221,-0.8545,24.3743,-54.7326,29.6286,,,,
