TagID,Date,Time,accX,accY,accZ,gyroX,gyroY,gyroZ,compX,compY,compZ,Activity,Depth,Temp. (?C),Metadata
04_S7,04/05/2023,16:59:14.000,-0.0842,-0.0901,-0.9094,-5.8365,-11.6959,-4.8523,7.7355,-48.3106,-76.6256,Active,8.71417946232389,-368.68,
04_S7,04/05/2023,16:59:14.100,-0.1428,-0.1177,-0.9609,7.8430,-35.2631,-0.0839,8.1734,-45.2456,-77.3554,,,,
04_S7,04/05/2023,16:59:14.200,-0.2312,-0.1348,-0.9580,2.1820,-51.2772,-8.0643,9.4870,-42.1806,-77.5014,,,,
04_S7,04/05/2023,16:59:14.300,-0.3604,-0.0991,-0.9304,-15.3732,-69.3359,9.7885,9.3410,-36.7803,-77.0635,,,,
04_S7,04/05/2023,16:59:14.400,-0.3948,-0.0940,-0.9082,-6.0654,-54.5425,7.4387,9.3410,-36.7803,-77.0635,,,,
04_S7,04/05/2023,16:59:14.500,-0.4294,-0.0886,-0.8857,3.2501,-39.7491,5.0888,9.3410,-36.7803,-77.0635,,,,
04_S7,04/05/2023,16:59:14.600,-0.4844,-0.1001,-0.8560,5.5237,-32.2418,7.6981,9.4870,-34.8829,-75.7499,,,,
04_S7,04/05/2023,16:59:14.700,-0.5286,-0.1035,-0.8293,11.0855,-34.1415,5.5389,9.0491,-33.8612,-74.4363,,,,
04_S7,04/05/2023,16:59:14.800,-0.6086,-0.1101,-0.7151,-3.7842,-56.3507,9.4986,8.0274,-29.3367,-72.2470,,,,
04_S7,04/05/2023,16:59:14.900,-0.6731,-0.0701,-0.6565,-6.1264,-62.3169,14.9460,8.9032,-25.2500,-69.9118,,,,
04_S7,04/05/2023,16:59:15.000,-0.7981,-0.0188,-0.6438,-5.6534,-60.2417,5.3177,8.9032,-25.2500,-69.9118,Inactive,0,23.9,
04_S7,04/05/2023,16:59:15.100,-0.8516,-0.0708,-0.4219,-28.3813,-120.7962,-13.4735,7.7355,-21.4552,-65.8251,,,,
04_S7,04/05/2023,16:59:15.200,-0.9333,-0.0659,-0.3081,-9.3460,-71.7545,-4.4556,8.0274,-17.3685,-57.3598,,,,
04_S7,04/05/2023,16:59:15.300,-0.9712,-0.0974,-0.2214,-12.8555,-55.6717,-14.7934,8.1734,-14.8873,-54.2947,,,,
04_S7,04/05/2023,16:59:15.400,-0.9595,-0.1167,-0.0728,-4.0054,-59.5245,-17.4713,9.9248,-13.7196,-48.4566,,,,
04_S7,04/05/2023,16:59:15.500,-0.9688,-0.1140,-0.0334,15.2130,-46.9055,-7.3318,9.9248,-13.7196,-48.4566,,,,
