TagID,Date,Time,accX,accY,accZ,gyroX,gyroY,gyroZ,compX,compY,compZ,Activity,Depth,Temp. (?C),Metadata
04_S9,04/05/2023,16:59:14.000,-0.0146,0.0320,0.9893,-2.9831,0.0229,-8.8120,14.4494,-16.4928,-14.4494,Active,8.89263750755994,-368.68,
04_S9,04/05/2023,16:59:14.100,0.0073,0.0386,1.0442,-4.7379,-2.1362,-25.6271,14.5954,-16.9306,-14.3035,,,,
04_S9,04/05/2023,16:59:14.200,-0.0059,0.0286,1.0310,-4.6768,4.4937,-31.4178,14.0115,-17.5144,-15.7630,,,,
04_S9,04/05/2023,16:59:14.300,-0.0171,0.0576,1.0254,-2.5101,4.3488,-47.2794,13.1358,-17.2225,-14.0115,,,,
04_S9,04/05/2023,16:59:14.400,-0.0142,0.0378,1.0327,-1.6937,3.3264,-52.9251,13.1358,-17.2225,-14.0115,,,,
04_S9,04/05/2023,16:59:14.500,-0.0110,0.0178,1.0400,-0.8774,2.2964,-58.5785,13.1358,-17.2225,-14.0115,,,,
04_S9,04/05/2023,16:59:14.600,-0.0076,-0.0017,1.0476,-2.1973,3.3646,-39.4745,13.5737,-19.1199,-14.4494,,,,
04_S9,04/05/2023,16:59:14.700,-0.0161,0.0195,1.0447,-1.4114,3.1433,-31.7001,12.5520,-19.2659,-14.5954,,,,
04_S9,04/05/2023,16:59:14.800,-0.0171,0.0249,1.0408,-1.4954,1.4725,-45.6848,13.5737,-19.7037,-14.7413,,,,
04_S9,04/05/2023,16:59:14.900,-0.0161,0.0098,1.0439,-2.4796,1.6937,-53.7109,10.0708,-20.5795,-13.8656,,,,
04_S9,04/05/2023,16:59:15.000,-0.0166,0.0127,1.0378,-2.7161,2.5787,-46.0281,10.0708,-20.5795,-13.8656,Inactive,0,24.98,
04_S9,04/05/2023,16:59:15.100,-0.0234,0.0100,1.0398,-3.1967,3.9215,-42.3203,10.5087,-21.0173,-14.5954,,,,
04_S9,04/05/2023,16:59:15.200,-0.0242,-0.0090,1.0354,-3.8452,4.9438,-44.6625,8.4653,-21.6011,-14.3035,,,,
