TagID,Date,Time,accX,accY,accZ,gyroX,gyroY,gyroZ,compX,compY,compZ,Activity,Depth,Temp. (?C),Metadata
04_S4_S5,04/05/2023,16:59:14.000,0.0186,0.9207,0.3572,0.5646,-3.4409,0.9766,-31.2341,-54.0028,-52.8352,Active,8.80211531070097,-368.68,
04_S4_S5,04/05/2023,16:59:14.100,0.0217,0.9570,0.3521,4.9667,-3.7918,1.0757,-30.9422,-52.8352,-53.1271,,,,
04_S4_S5,04/05/2023,16:59:14.200,0.0359,0.9646,0.3450,8.2169,-3.3112,-2.4185,-30.0664,-52.8352,-54.0028,,,,
04_S4_S5,04/05/2023,16:59:14.300,0.0249,0.9526,0.3044,4.7302,7.8125,1.2970,-31.3800,-54.4407,-55.3164,,,,
04_S4_S5,04/05/2023,16:59:14.400,0.0203,0.9744,0.2915,12.2604,7.9575,-0.8392,-31.3800,-54.4407,-55.3164,,,,
04_S4_S5,04/05/2023,16:59:14.500,0.0154,0.9963,0.2783,19.7906,8.1100,-2.9755,-31.3800,-54.4407,-55.3164,,,,
04_S4_S5,04/05/2023,16:59:14.600,0.0037,0.9980,0.2117,41.4429,15.0146,-0.8698,-31.2341,-53.7109,-55.4624,,,,
04_S4_S5,04/05/2023,16:59:14.700,0.0012,0.9875,0.1353,36.1786,12.5351,-2.3270,-30.5043,-53.8569,-58.5274,,,,
04_S4_S5,04/05/2023,16:59:14.800,-0.0142,1.0178,0.0718,28.7094,5.2338,-0.6485,-31.6719,-52.6892,-61.4465,,,,
04_S4_S5,04/05/2023,16:59:14.900,0.0156,1.0144,0.0310,29.9530,10.3378,5.6458,-30.2124,-54.4407,-62.6141,,,,
04_S4_S5,04/05/2023,16:59:15.000,0.0220,1.0103,-0.0103,27.4353,7.1182,5.2261,-30.2124,-54.4407,-62.6141,Inactive,0,21.12,
04_S4_S5,04/05/2023,16:59:15.100,0.0159,1.0005,-0.0586,21.4233,3.9368,1.9455,-30.2124,-53.8569,-64.6574,,,,
04_S4_S5,04/05/2023,16:59:15.200,0.0244,0.9976,-0.1003,31.8756,9.1782,1.2589,-29.3367,-53.8569,-65.2413,,,,
04_S4_S5,04/05/2023,16:59:15.300,0.0293,0.9851,-0.1887,43.1900,3.4561,2.1057,-28.8988,-54.5866,-70.0577,,,,
