TagID;Date;Time;accX;accY;accZ;gyroX;gyroY;gyroZ;compX;compY;compZ;Activity;Depth;Temp. (?C);Metadata
04_S4;04/05/2023;16:59:14;-6501;-73;-6558;87509;-317001;-25177;-8757;-560462;-253959;Active;8.46589E+14;-36868;
04_S4;04/05/2023;16:59:14;-7632;-237;-5964;212555;-656509;65994;11676;-537109;-221849;;;;
04_S4;04/05/2023;16:59:14;-8596;-107;-4802;125656;-720291;158691;13136;-515216;-164928;;;;
04_S4;04/05/2023;16:59:14;-8923;-42;-3784;-11826;-594177;56000;-5838;-504999;-122601;;;;
04_S4;04/05/2023;16:59:14;-8989;-127;-3464;-42343;-550613;42648;-5838;-504999;-122601;;;;
04_S4;04/05/2023;16:59:14;-9055;-212;-3142;-72861;-507050;29297;-5838;-504999;-122601;;;;
04_S4;04/05/2023;16:59:15;-9670;127;-2385;-17090;-492554;54550;-11676;-484566;-84653;;;;
04_S4;04/05/2023;16:59:15;-9731;46;-979;23575;-512085;8087;-1460;-486025;-56922;;;;
04_S4;04/05/2023;16:59:15;-9753;-110;-469;-27008;-431366;-22507;2919;-484566;-5838;;;;
04_S4;04/05/2023;16:59:15;-9841;-103;5;-11902;-259552;-16327;-5838;-490404;14595;;;;
04_S4;04/05/2023;16:59:15;-9993;54;659;-2670;-187225;-56152;-5838;-490404;14595;Inactive;0;202;
04_S4;04/05/2023;16:59:15;-9600;-591;698;-70190;-170593;-114288;10217;-483106;33569;;;;
04_S4;04/05/2023;16:59:15;-9839;-378;1340;-43793;-297241;-6180;5838;-484566;49624;;;;
04_S4;04/05/2023;16:59:15;-9600;-452;2239;-36011;-326004;-3815;18974;-494783;86113;;;;
04_S4;04/05/2023;16:59:15;-9744;-430;2490;-19531;-41580;-9460;17514;-490404;87572;;;;
04_S4;04/05/2023;16:59:16;-9636;-762;2405;-10147;-100174;37766;17514;-490404;87572;;;;
04_S4;04/05/2023;16:59:16;-9578;-391;2617;54932;-141830;111847;4379;-500621;100708;;;;
04_S4;04/05/2023;16:59:16;-9597;115;2832;21744;-131073;74005;-7298;-497702;100708;;;;
04_S4;04/05/2023;16:59:16;-9336;259;2993;14954;-121613;20142;-1460;-509378;112384;;;;
04_S4;04/05/2023;16:59:16;-9451;-144;3196;54169;-157089;-15640;-11676;-516676;119682;;;;
04_S4;04/05/2023;16:59:16;-9382;-168;3884;-3662;-155411;1373;-11676;-516676;119682;Inactive;0;2021;
04_S4;04/05/2023;16:59:16;-9348;-81;4058;-10681;-83771;24109;1460;-523973;129899;;;;
04_S4;04/05/2023;16:59:16;-9146;39;3760;55008;-57831;24185;-1460;-532731;150332;;;;
04_S4;04/05/2023;16:59:16;-9246;-88;4302;20523;-98648;17471;-5838;-513757;160549;;;;
04_S4;04/05/2023;16:59:16;-9033;317;4314;2670;-75226;45624;-13136;-538569;156170;;;;
04_S4;04/05/2023;16:59:16;-8894;308;4453;-6027;-88577;20676;-13136;-538569;156170;;;;
04_S4;04/05/2023;16:59:17;-8843;215;4880;154419;-152054;1602;0;-528352;169306;;;;
04_S4;04/05/2023;16:59:17;-8730;361;5100;265274;-166626;-9766;-26272;-540028;160549;;;;
04_S4;04/05/2023;16:59:17;-8696;640;5112;12436;-178604;36469;-26272;-548786;172225;;;;
04_S4;04/05/2023;16:59:17;-8296;557;5864;-160751;-220184;53558;-26272;-548786;172225;;;;
04_S4;04/05/2023;16:59:17;-8008;400;6147;-102615;-231628;24490;-13136;-561921;199956;Inactive;0;2022;
04_S4;04/05/2023;16:59:17;-7808;386;6394;13351;-265121;-25406;-23353;-566300;210173;;;;
04_S4;04/05/2023;16:59:17;-7451;369;6882;29297;-299835;-42572;-14595;-589653;227688;;;;
04_S4;04/05/2023;16:59:17;-7041;352;7424;20599;-344849;-23499;-8757;-604248;248121;;;;
04_S4;04/05/2023;16:59:17;-6560;498;7795;61188;-359955;51880;-8757;-604248;248121;;;;
04_S4;04/05/2023;16:59:17;-5830;625;8013;-56915;-490265;70648;-24812;-626141;267095;;;;
04_S4;04/05/2023;16:59:18;-4436;151;9375;-223770;-911026;43030;-7298;-687441;296286;;;;
04_S4;04/05/2023;16:59:18;-3826;161;9558;-46310;-446625;3662;-1460;-728308;316719;;;;
04_S4;04/05/2023;16:59:18;-3088;237;9795;-26703;-398712;77057;-18974;-760418;325477;;;;
