TagID,Date,Time,accX,accY,accZ,gyroX,gyroY,gyroZ,compX,compY,compZ,Activity,Depth,Temp. (?C),Metadata
04_S6,04/05/2023,16:59:14.000,-0.4285,-0.1628,0.9021,1.8921,-17.6086,-7.7209,-10.9465,-14.7413,-19.4118,Active,8.77107912892092,-368.68,
04_S6,04/05/2023,16:59:14.100,-0.3906,-0.1321,0.9219,5.9433,-26.1002,-6.3400,-9.3410,-15.7630,-16.9306,,,,
04_S6,04/05/2023,16:59:14.200,-0.3311,-0.1545,0.9902,7.4463,-37.1475,-8.3008,-10.6546,-16.7847,-16.7847,,,,
04_S6,04/05/2023,16:59:14.300,-0.2297,-0.1479,1.0193,4.5395,-36.5753,0.0305,-12.1141,-20.5795,-15.6170,,,,
04_S6,04/05/2023,16:59:14.400,-0.2021,-0.1343,1.0027,5.9357,-33.5770,0.8163,-12.1141,-20.5795,-15.6170,,,,
04_S6,04/05/2023,16:59:14.500,-0.1743,-0.1206,0.9858,7.3318,-30.5786,1.6022,-12.1141,-20.5795,-15.6170,,,,
04_S6,04/05/2023,16:59:14.600,-0.1235,-0.1082,1.0032,4.3869,-25.5585,-2.0370,-11.6763,-21.6011,-14.5954,,,,
04_S6,04/05/2023,16:59:14.700,-0.0994,-0.1038,1.0229,-0.4730,-24.9710,-4.8218,-12.4061,-23.7904,-13.8656,,,,
04_S6,04/05/2023,16:59:14.800,-0.0544,-0.1130,1.0366,-2.8000,-26.3214,-2.0142,-11.6763,-24.5202,-12.8439,,,,
04_S6,04/05/2023,16:59:14.900,0.0103,-0.1333,1.0386,-1.9379,-24.0707,2.0981,-12.6980,-26.4176,-12.6980,,,,
04_S6,04/05/2023,16:59:15.000,0.0127,-0.1282,1.0469,0.9613,-16.0065,2.8305,-12.6980,-26.4176,-12.6980,Inactive,0,23.48,
04_S6,04/05/2023,16:59:15.100,0.0681,-0.1221,1.0483,1.4267,-22.7280,3.8376,-11.2384,-27.5852,-12.6980,,,,
04_S6,04/05/2023,16:59:15.200,0.1494,-0.1177,1.0210,-4.8752,-45.4178,1.8768,-12.1141,-29.3367,-11.2384,,,,
04_S6,04/05/2023,16:59:15.300,0.2368,-0.1462,0.9919,-17.0746,-45.3491,-6.1111,-10.5087,-33.2774,-10.2168,,,,
04_S6,04/05/2023,16:59:15.400,0.2856,-0.1831,0.9836,-20.3705,-40.5426,14.1754,-9.1951,-38.0939,-9.4870,,,,
04_S6,04/05/2023,16:59:15.500,0.3669,-0.2021,0.9731,-0.3357,-55.4581,13.0234,-9.1951,-38.0939,-9.4870,,,,
04_S6,04/05/2023,16:59:15.600,0.4565,-0.1660,0.9109,14.6866,-45.0745,2.6093,-10.8006,-41.1589,-11.0925,,,,
04_S6,04/05/2023,16:59:15.700,0.5098,-0.1409,0.8955,14.8849,-27.6718,-5.3558,-12.2601,-43.4942,-11.3844,,,,
04_S6,04/05/2023,16:59:15.800,0.5503,-0.1311,0.8601,8.9798,-31.3492,0.4196,-13.4277,-46.9971,-14.0115,,,,
04_S6,04/05/2023,16:59:15.900,0.6184,-0.1191,0.8110,3.2043,-42.8543,3.8300,-13.2818,-50.0621,-14.7413,,,,
04_S6,04/05/2023,16:59:16.000,0.6792,-0.1155,0.7637,3.4409,-42.1906,1.8997,-13.2818,-50.0621,-14.7413,Inactive,0,23.48,
04_S6,04/05/2023,16:59:16.100,0.7117,-0.1206,0.7178,2.9297,-42.1295,1.9455,-12.5520,-51.3757,-15.7630,,,,
04_S6,04/05/2023,16:59:16.200,0.7803,-0.0989,0.6475,8.0490,-40.6189,1.0757,-13.1358,-54.0028,-17.8063,,,,
04_S6,04/05/2023,16:59:16.300,0.8142,-0.0925,0.5996,9.8877,-39.9017,1.6098,-13.7196,-57.2138,-19.2659,,,,
