TagID,Date,Time,accX,accY,accZ,magX,magY,magZ,Temp. (?C),Metadata
2_S1,09/05/2023,09:39:17.000,-0.078,-0.047,1.032,-717.0,1788.0,403.5,25,
2_S1,09/05/2023,09:39:17.100,-0.078,-0.047,1.018,,,,,
2_S1,09/05/2023,09:39:17.200,-0.078,-0.034,1.041,,,,,
2_S1,09/05/2023,09:39:17.300,-0.067,-0.042,1.047,,,,,
2_S1,09/05/2023,09:39:17.400,-0.063,-0.047,1.038,,,,,
2_S1,09/05/2023,09:39:17.500,-0.070,-0.047,1.024,,,,,
2_S1,09/05/2023,09:39:17.600,-0.078,-0.047,1.016,,,,,
2_S1,09/05/2023,09:39:17.700,-0.073,-0.047,1.025,,,,,
2_S1,09/05/2023,09:39:17.800,-0.066,-0.047,1.044,,,,,
2_S1,09/05/2023,09:39:17.900,-0.078,-0.047,1.032,,,,,
2_S1,09/05/2023,09:39:18.000,-0.078,-0.031,1.016,-724.5,1803.0,403.5,,
2_S1,09/05/2023,09:39:18.100,-0.078,-0.031,1.016,,,,,
2_S1,09/05/2023,09:39:18.200,-0.063,-0.031,1.047,,,,,
2_S1,09/05/2023,09:39:18.300,-0.063,-0.047,1.047,,,,,
2_S1,09/05/2023,09:39:18.400,-0.078,-0.031,1.032,,,,,
2_S1,09/05/2023,09:39:18.500,-0.078,-0.047,1.016,,,,,
2_S1,09/05/2023,09:39:18.600,-0.063,-0.047,1.032,,,,,
2_S1,09/05/2023,09:39:18.700,-0.078,-0.031,1.047,,,,,
2_S1,09/05/2023,09:39:18.800,-0.078,-0.047,1.016,,,,,
2_S1,09/05/2023,09:39:18.900,-0.078,-0.047,1.032,,,,,
2_S1,09/05/2023,09:39:19.000,-0.078,-0.047,1.032,-714.0,1816.5,361.5,,
2_S1,09/05/2023,09:39:19.100,-0.063,-0.047,1.047,,,,,
2_S1,09/05/2023,09:39:19.200,-0.063,-0.047,1.032,,,,,
2_S1,09/05/2023,09:39:19.300,-0.078,-0.047,1.016,,,,,
2_S1,09/05/2023,09:39:19.400,-0.078,-0.031,1.016,,,,,
2_S1,09/05/2023,09:39:19.500,-0.078,-0.047,1.047,,,,,
2_S1,09/05/2023,09:39:19.600,-0.063,-0.031,1.032,,,,,
2_S1,09/05/2023,09:39:19.700,-0.078,-0.047,1.016,,,,,
2_S1,09/05/2023,09:39:19.800,-0.078,-0.047,1.000,,,,,
2_S1,09/05/2023,09:39:19.900,-0.063,-0.047,1.032,,,,,
2_S1,09/05/2023,09:39:20.000,-0.063,-0.047,1.016,-714.0,1795.5,400.5,,
2_S1,09/05/2023,09:39:20.100,-0.063,-0.031,1.032,,,,,
2_S1,09/05/2023,09:39:20.200,-0.078,-0.047,1.016,,,,,
2_S1,09/05/2023,09:39:20.300,-0.063,-0.031,1.016,,,,,
2_S1,09/05/2023,09:39:20.400,-0.094,-0.047,1.016,,,,,
2_S1,09/05/2023,09:39:20.500,-0.078,-0.031,1.047,,,,,
2_S1,09/05/2023,09:39:20.600,-0.078,-0.047,1.032,,,,,
