TagID,Date,Time,accX,accY,accZ,magX,magY,magZ,Temp. (?C),Metadata
1_S9,10/05/2023,13:53:47.000,-0.250,-0.875,-0.438,-204.0,-202.5,634.5,23,
1_S9,10/05/2023,13:53:47.100,-0.250,-0.875,-0.438,,,,,
1_S9,10/05/2023,13:53:47.200,-0.375,-0.750,-0.563,,,,,
1_S9,10/05/2023,13:53:47.300,-0.313,-0.813,-0.500,,,,,
1_S9,10/05/2023,13:53:47.400,-0.250,-0.688,-0.625,,,,,
1_S9,10/05/2023,13:53:47.500,-0.250,-0.688,-0.625,-177.0,-265.5,759.0,,
1_S9,10/05/2023,13:53:47.600,-0.313,-0.688,-0.750,,,,,
1_S9,10/05/2023,13:53:47.700,-0.188,-0.625,-0.813,,,,,
1_S9,10/05/2023,13:53:47.800,-0.188,-0.563,-0.813,,,,,
1_S9,10/05/2023,13:53:47.900,-0.125,-0.375,-0.875,,,,,
1_S9,10/05/2023,13:53:48.000,-0.125,-0.375,-0.875,-264.0,-444.0,834.0,,
1_S9,10/05/2023,13:53:48.100,-0.063,-0.313,-1.000,,,,,
1_S9,10/05/2023,13:53:48.200,-0.063,-0.125,-1.000,,,,,
1_S9,10/05/2023,13:53:48.300,-0.063,0.000,-1.063,,,,,
1_S9,10/05/2023,13:53:48.400,-0.063,0.125,-1.000,,,,,
1_S9,10/05/2023,13:53:48.500,-0.063,0.250,-0.938,-307.5,-883.5,928.5,,
1_S9,10/05/2023,13:53:48.600,0.000,0.250,-1.000,,,,,
1_S9,10/05/2023,13:53:48.700,0.000,0.375,-0.875,,,,,
1_S9,10/05/2023,13:53:48.800,0.000,0.563,-0.875,,,,,
1_S9,10/05/2023,13:53:48.900,0.000,0.688,-0.875,,,,,
1_S9,10/05/2023,13:53:49.000,-0.188,0.750,-0.688,-390.0,-1623.0,889.5,,
1_S9,10/05/2023,13:53:49.100,-0.188,0.813,-0.500,,,,,
1_S9,10/05/2023,13:53:49.200,-0.063,1.063,-0.313,,,,,
1_S9,10/05/2023,13:53:49.300,-0.125,0.938,-0.375,,,,,
1_S9,10/05/2023,13:53:49.400,-0.125,1.063,-0.375,,,,,
1_S9,10/05/2023,13:53:49.500,-0.125,1.063,-0.375,-514.5,-2538.0,588.0,,
1_S9,10/05/2023,13:53:49.600,-0.125,1.063,-0.313,,,,,
1_S9,10/05/2023,13:53:49.700,0.000,1.063,-0.250,,,,,
1_S9,10/05/2023,13:53:49.800,0.000,1.000,-0.250,,,,,
1_S9,10/05/2023,13:53:49.900,0.000,1.063,-0.188,,,,,
1_S9,10/05/2023,13:53:50.000,0.063,1.063,-0.125,-517.5,-2602.5,438.0,,
1_S9,10/05/2023,13:53:50.100,0.000,1.063,0.000,,,,,
1_S9,10/05/2023,13:53:50.200,0.063,1.000,0.000,,,,,
1_S9,10/05/2023,13:53:50.300,0.063,1.063,0.063,,,,,
1_S9,10/05/2023,13:53:50.400,0.063,1.063,0.063,,,,,
1_S9,10/05/2023,13:53:50.500,0.063,1.063,0.125,-520.5,-2550.0,345.0,,
1_S9,10/05/2023,13:53:50.600,0.188,1.063,0.125,,,,,
1_S9,10/05/2023,13:53:50.700,0.188,1.000,0.250,,,,,
1_S9,10/05/2023,13:53:50.800,0.250,1.000,0.313,,,,,
1_S9,10/05/2023,13:53:50.900,0.188,1.000,0.313,,,,,
1_S9,10/05/2023,13:53:51.000,0.250,0.938,0.313,-580.5,-2490.0,274.5,,
1_S9,10/05/2023,13:53:51.100,0.200,1.000,0.388,,,,,
1_S9,10/05/2023,13:53:51.200,0.288,0.938,0.513,,,,,
1_S9,10/05/2023,13:53:51.300,0.169,0.669,0.619,,,,,
1_S9,10/05/2023,13:53:51.400,0.150,0.600,0.800,,,,,
1_S9,10/05/2023,13:53:51.500,0.188,0.500,0.875,-529.5,-2281.5,183.0,,
1_S9,10/05/2023,13:53:51.600,0.225,0.363,0.875,,,,,
1_S9,10/05/2023,13:53:51.700,0.206,0.225,0.963,,,,,
1_S9,10/05/2023,13:53:51.800,0.238,0.188,1.000,,,,,
1_S9,10/05/2023,13:53:51.900,0.438,0.188,1.000,,,,,
1_S9,10/05/2023,13:53:52.000,0.188,-0.063,0.875,-774.0,-1675.5,115.5,23,
1_S9,10/05/2023,13:53:52.100,0.125,-0.313,0.938,,,,,
1_S9,10/05/2023,13:53:52.200,0.125,-0.438,0.875,,,,,
1_S9,10/05/2023,13:53:52.300,0.125,-0.500,0.813,,,,,
1_S9,10/05/2023,13:53:52.400,0.125,-0.563,0.813,,,,,
1_S9,10/05/2023,13:53:52.500,0.063,-0.625,0.750,-373.5,-330.0,276.0,,
1_S9,10/05/2023,13:53:52.600,0.125,-1.500,0.813,,,,,
1_S9,10/05/2023,13:53:52.700,0.125,-0.188,0.813,,,,,
1_S9,10/05/2023,13:53:52.800,0.125,-0.688,0.688,,,,,
1_S9,10/05/2023,13:53:52.900,0.125,-0.750,0.625,,,,,
1_S9,10/05/2023,13:53:53.000,0.063,-0.688,0.688,-292.5,-169.5,385.5,,
1_S9,10/05/2023,13:53:53.100,0.063,-0.750,0.688,,,,,
1_S9,10/05/2023,13:53:53.200,0.125,-0.813,0.500,,,,,
1_S9,10/05/2023,13:53:53.300,0.125,-0.875,0.375,,,,,
1_S9,10/05/2023,13:53:53.400,0.063,-0.938,0.250,,,,,
1_S9,10/05/2023,13:53:53.500,0.063,-0.938,0.188,-300.0,-174.0,571.5,,
1_S9,10/05/2023,13:53:53.600,0.063,-0.938,0.063,,,,,
1_S9,10/05/2023,13:53:53.700,0.063,-1.000,-0.125,,,,,
1_S9,10/05/2023,13:53:53.800,0.125,-0.938,-0.188,,,,,
1_S9,10/05/2023,13:53:53.900,0.063,-1.000,-0.250,,,,,
1_S9,10/05/2023,13:53:54.000,-0.063,-0.813,-0.375,-291.0,-277.5,774.0,,
1_S9,10/05/2023,13:53:54.100,0.125,-0.875,-0.375,,,,,
1_S9,10/05/2023,13:53:54.200,0.188,-0.875,-0.375,,,,,
1_S9,10/05/2023,13:53:54.300,0.188,-0.813,-0.438,,,,,
1_S9,10/05/2023,13:53:54.400,0.188,-0.813,-0.625,,,,,
1_S9,10/05/2023,13:53:54.500,0.125,-0.750,-0.563,-340.5,-459.0,811.5,,
1_S9,10/05/2023,13:53:54.600,0.188,-0.813,-0.563,,,,,
1_S9,10/05/2023,13:53:54.700,0.188,-0.688,-0.688,,,,,
1_S9,10/05/2023,13:53:54.800,0.250,-0.688,-0.625,,,,,
1_S9,10/05/2023,13:53:54.900,0.125,-0.625,-0.750,,,,,
1_S9,10/05/2023,13:53:55.000,0.188,-0.625,-0.813,-322.5,-574.5,852.0,,
1_S9,10/05/2023,13:53:55.100,0.250,-0.500,-0.875,,,,,
1_S9,10/05/2023,13:53:55.200,0.188,-0.438,-0.938,,,,,
1_S9,10/05/2023,13:53:55.300,0.188,-0.375,-0.938,,,,,
1_S9,10/05/2023,13:53:55.400,0.125,-0.313,-0.875,,,,,
1_S9,10/05/2023,13:53:55.500,0.125,-0.188,-1.000,-388.5,-943.5,885.0,,
1_S9,10/05/2023,13:53:55.600,0.063,-0.188,-1.000,,,,,
1_S9,10/05/2023,13:53:55.700,0.063,-0.125,-1.000,,,,,
1_S9,10/05/2023,13:53:55.800,0.125,-0.063,-1.000,,,,,
1_S9,10/05/2023,13:53:55.900,0.063,0.063,-1.000,,,,,
1_S9,10/05/2023,13:53:56.000,-0.063,0.063,-1.063,-264.0,-1219.5,916.5,,
1_S9,10/05/2023,13:53:56.100,-0.063,0.131,-0.994,,,,,
1_S9,10/05/2023,13:53:56.200,-0.075,0.213,-0.950,,,,,
1_S9,10/05/2023,13:53:56.300,-0.144,0.331,-0.982,,,,,
1_S9,10/05/2023,13:53:56.400,-0.188,0.400,-0.938,,,,,
1_S9,10/05/2023,13:53:56.500,-0.188,0.469,-0.907,-154.5,-1669.5,870.0,,
1_S9,10/05/2023,13:53:56.600,-0.225,0.538,-0.875,,,,,
1_S9,10/05/2023,13:53:56.700,-0.206,0.650,-0.832,,,,,
1_S9,10/05/2023,13:53:56.800,-0.188,0.688,-0.813,,,,,
1_S9,10/05/2023,13:53:56.900,-0.125,0.750,-0.750,,,,,
1_S9,10/05/2023,13:53:57.000,-0.063,0.875,-0.688,-211.5,-1710.0,777.0,23,
1_S9,10/05/2023,13:53:57.100,-0.063,0.875,-0.625,,,,,
1_S9,10/05/2023,13:53:57.200,-0.063,0.938,-0.500,,,,,
1_S9,10/05/2023,13:53:57.300,-0.063,1.000,-0.500,,,,,
1_S9,10/05/2023,13:53:57.400,-0.125,1.063,-0.500,,,,,
1_S9,10/05/2023,13:53:57.500,-0.063,0.938,-0.438,-205.5,-1806.0,562.5,,
1_S9,10/05/2023,13:53:57.600,0.000,0.938,-0.313,,,,,
1_S9,10/05/2023,13:53:57.700,-0.063,1.063,-0.313,,,,,
1_S9,10/05/2023,13:53:57.800,0.000,1.063,-0.188,,,,,
1_S9,10/05/2023,13:53:57.900,0.063,1.063,-0.125,,,,,
1_S9,10/05/2023,13:53:58.000,0.063,1.063,0.063,-499.5,-2623.5,240.0,,
1_S9,10/05/2023,13:53:58.100,0.125,1.063,0.125,,,,,
1_S9,10/05/2023,13:53:58.200,0.063,1.063,0.188,,,,,
1_S9,10/05/2023,13:53:58.300,0.063,1.063,0.250,,,,,
1_S9,10/05/2023,13:53:58.400,0.063,1.000,0.250,,,,,
1_S9,10/05/2023,13:53:58.500,0.063,1.000,0.250,-400.5,-2566.5,100.5,,
1_S9,10/05/2023,13:53:58.600,0.125,1.000,0.313,,,,,
1_S9,10/05/2023,13:53:58.700,0.125,1.000,0.438,,,,,
1_S9,10/05/2023,13:53:58.800,0.000,1.000,0.438,,,,,
1_S9,10/05/2023,13:53:58.900,0.063,1.000,0.500,,,,,
1_S9,10/05/2023,13:53:59.000,0.063,0.813,0.563,-387.0,-2475.0,51.0,,
1_S9,10/05/2023,13:53:59.100,0.125,0.813,0.688,,,,,
1_S9,10/05/2023,13:53:59.200,0.063,0.813,0.688,,,,,
1_S9,10/05/2023,13:53:59.300,0.000,0.688,0.750,,,,,
1_S9,10/05/2023,13:53:59.400,-0.063,0.625,0.875,,,,,
1_S9,10/05/2023,13:53:59.500,-0.063,0.563,0.875,-363.0,-2299.5,39.0,,
1_S9,10/05/2023,13:53:59.600,0.125,0.688,0.875,,,,,
1_S9,10/05/2023,13:53:59.700,-0.063,0.438,0.938,,,,,
