TagID,Date,Time,accX,accY,accZ,magX,magY,magZ,Temp. (?C),Metadata
1_S8,10/05/2023,13:22:19.000,-0.188,-1.000,-0.313,-592.5,459.0,724.5,24,
1_S8,10/05/2023,13:22:19.100,-0.188,-0.938,-0.188,,,,,
1_S8,10/05/2023,13:22:19.200,-0.250,-0.938,-0.188,,,,,
1_S8,10/05/2023,13:22:19.300,-0.250,-0.938,-0.125,,,,,
1_S8,10/05/2023,13:22:19.400,-0.188,-0.938,-0.125,,,,,
1_S8,10/05/2023,13:22:19.500,-0.188,-0.938,0.063,-592.5,493.5,633.0,,
1_S8,10/05/2023,13:22:19.600,-0.188,-0.875,0.125,,,,,
1_S8,10/05/2023,13:22:19.700,-0.125,-0.750,0.500,,,,,
1_S8,10/05/2023,13:22:19.800,-0.063,-0.875,0.438,,,,,
1_S8,10/05/2023,13:22:19.900,-0.063,-0.750,0.563,,,,,
1_S8,10/05/2023,13:22:20.000,0.000,-0.563,0.750,-627.0,400.5,409.5,,
1_S8,10/05/2023,13:22:20.100,0.063,-0.750,0.938,,,,,
1_S8,10/05/2023,13:22:20.200,0.000,-0.375,0.875,,,,,
1_S8,10/05/2023,13:22:20.300,0.000,-0.438,0.938,,,,,
1_S8,10/05/2023,13:22:20.400,0.063,-0.188,0.875,,,,,
1_S8,10/05/2023,13:22:20.500,0.000,-0.063,1.000,-660.0,174.0,270.0,,
1_S8,10/05/2023,13:22:20.600,0.000,-0.063,1.063,,,,,
1_S8,10/05/2023,13:22:20.700,0.000,0.188,0.938,,,,,
1_S8,10/05/2023,13:22:20.800,-0.063,0.563,0.875,,,,,
1_S8,10/05/2023,13:22:20.900,-0.063,1.000,0.688,,,,,
1_S8,10/05/2023,13:22:21.000,-0.063,0.938,0.500,-645.0,-204.0,421.5,,
1_S8,10/05/2023,13:22:21.100,-0.063,0.938,0.438,,,,,
1_S8,10/05/2023,13:22:21.200,-0.063,1.063,0.063,,,,,
1_S8,10/05/2023,13:22:21.300,0.000,1.063,0.000,,,,,
1_S8,10/05/2023,13:22:21.400,0.000,1.063,-0.125,,,,,
1_S8,10/05/2023,13:22:21.500,0.000,1.063,-0.188,-660.0,-180.0,667.5,,
1_S8,10/05/2023,13:22:21.600,-0.125,1.063,-0.188,,,,,
1_S8,10/05/2023,13:22:21.700,-0.500,0.750,-0.438,,,,,
1_S8,10/05/2023,13:22:21.800,-1.125,0.500,-0.188,,,,,
1_S8,10/05/2023,13:22:21.900,-1.000,0.625,-0.125,,,,,
1_S8,10/05/2023,13:22:22.000,-0.625,0.563,-0.688,-391.5,-135.0,879.0,,
1_S8,10/05/2023,13:22:22.100,-0.500,0.500,-0.813,,,,,
1_S8,10/05/2023,13:22:22.200,-0.375,0.375,-0.875,,,,,
1_S8,10/05/2023,13:22:22.300,-0.375,0.500,-0.875,,,,,
1_S8,10/05/2023,13:22:22.400,-0.250,0.375,-0.938,,,,,
1_S8,10/05/2023,13:22:22.500,-0.188,0.188,-0.938,-549.0,18.0,958.5,,
1_S8,10/05/2023,13:22:22.600,-0.188,0.188,-1.000,,,,,
1_S8,10/05/2023,13:22:22.700,-0.250,-0.125,-1.000,,,,,
1_S8,10/05/2023,13:22:22.800,-0.250,-0.125,-1.000,,,,,
1_S8,10/05/2023,13:22:22.900,-0.125,0.063,-1.000,,,,,
1_S8,10/05/2023,13:22:23.000,-0.125,0.000,-1.000,-606.0,93.0,954.0,,
1_S8,10/05/2023,13:22:23.100,-0.069,0.063,-1.169,,,,,
1_S8,10/05/2023,13:22:23.200,-0.113,0.013,-0.988,,,,,
1_S8,10/05/2023,13:22:23.300,-0.081,-0.206,-0.938,,,,,
1_S8,10/05/2023,13:22:23.400,-0.150,-0.225,-0.938,,,,,
1_S8,10/05/2023,13:22:23.500,-0.188,-0.313,-0.907,-621.0,165.0,954.0,,
1_S8,10/05/2023,13:22:23.600,-0.113,-0.475,-0.800,,,,,
1_S8,10/05/2023,13:22:23.700,-0.063,-0.588,-0.750,,,,,
1_S8,10/05/2023,13:22:23.800,-0.113,-0.725,-0.650,,,,,
1_S8,10/05/2023,13:22:23.900,-0.125,-0.813,-0.625,,,,,
1_S8,10/05/2023,13:22:24.000,-0.125,-0.938,-0.375,-624.0,342.0,883.5,24,
1_S8,10/05/2023,13:22:24.100,-0.063,-1.063,-0.313,,,,,
1_S8,10/05/2023,13:22:24.200,-0.063,-0.938,-0.125,,,,,
1_S8,10/05/2023,13:22:24.300,-0.125,-1.000,0.063,,,,,
1_S8,10/05/2023,13:22:24.400,0.000,-0.875,0.250,,,,,
1_S8,10/05/2023,13:22:24.500,0.000,-0.875,0.438,-598.5,486.0,633.0,,
1_S8,10/05/2023,13:22:24.600,0.000,-0.875,0.438,,,,,
1_S8,10/05/2023,13:22:24.700,0.000,-0.813,0.500,,,,,
