TagID,Date,Time,accX,accY,accZ,gyroX,gyroY,gyroZ,compX,compY,compZ,Activity,Depth,Temp. (?C),Metadata
02_S2,04/05/2023,16:59:14.000,0.9819,-0.0115,0.0337,0.2823,0.4883,-1.3504,42.4725,-75.4580,12.9899,Active,0,-397.7,
02_S2,04/05/2023,16:59:14.100,1.0227,-0.0137,0.0327,0.1068,1.6098,-2.4338,42.6185,-74.7282,12.8439,,,,
02_S2,04/05/2023,16:59:14.200,1.0247,-0.0134,0.0337,0.1144,1.7090,-2.4796,42.3265,-75.3121,11.3844,,,,
02_S2,04/05/2023,16:59:14.300,1.0244,-0.0134,0.0339,0.1068,1.7471,-2.4796,40.8670,-75.3121,13.1358,,,,
02_S2,04/05/2023,16:59:14.400,1.0244,-0.0134,0.0339,0.1068,1.7242,-2.4796,40.8670,-75.3121,13.1358,,,,
02_S2,04/05/2023,16:59:14.500,1.0242,-0.0132,0.0342,0.1068,1.6937,-2.4796,40.8670,-75.3121,13.1358,,,,
02_S2,04/05/2023,16:59:14.600,1.0239,-0.0134,0.0327,0.0992,1.6861,-2.4948,42.6185,-74.1444,12.8439,,,,
02_S2,04/05/2023,16:59:14.700,1.0239,-0.0139,0.0325,0.1068,1.7090,-2.4872,41.0130,-74.5823,13.5737,,,,
02_S2,04/05/2023,16:59:14.800,1.0249,-0.0129,0.0344,0.0839,1.7319,-2.4796,41.4508,-75.8959,13.1358,,,,
02_S2,04/05/2023,16:59:14.900,1.0239,-0.0137,0.0356,0.0992,1.7166,-2.4719,41.4508,-75.0202,13.4277,,,,
02_S2,04/05/2023,16:59:15.000,1.0242,-0.0137,0.0337,0.1068,1.7242,-2.4948,40.2832,-75.0202,14.0115,Inactive,0,20.84,
02_S2,04/05/2023,16:59:15.100,1.0247,-0.0144,0.0347,0.0763,1.7090,-2.4872,40.2832,-75.0202,14.0115,,,,
02_S2,04/05/2023,16:59:15.200,1.0239,-0.0139,0.0330,0.0763,1.7166,-2.5024,41.7427,-75.3121,13.1358,,,,
02_S2,04/05/2023,16:59:15.300,1.0249,-0.0134,0.0352,0.1068,1.6708,-2.4948,42.0346,-75.8959,13.1358,,,,
02_S2,04/05/2023,16:59:15.400,1.0244,-0.0139,0.0347,0.0916,1.6937,-2.4948,40.2832,-75.0202,13.1358,,,,
02_S2,04/05/2023,16:59:15.500,1.0242,-0.0134,0.0339,0.0916,1.6708,-2.4796,41.5968,-73.9985,12.4061,,,,
02_S2,04/05/2023,16:59:15.600,1.0254,-0.0127,0.0325,0.1144,1.7090,-2.4872,41.5968,-73.9985,12.4061,,,,
02_S2,04/05/2023,16:59:15.700,1.0254,-0.0134,0.0337,0.1221,1.6479,-2.5024,42.1806,-74.8742,13.8656,,,,
02_S2,04/05/2023,16:59:15.800,1.0244,-0.0134,0.0349,0.0992,1.6937,-2.4948,42.0346,-74.4363,13.7196,,,,
02_S2,04/05/2023,16:59:15.900,1.0242,-0.0129,0.0334,0.0992,1.6785,-2.5101,42.7644,-73.9985,13.2818,,,,
02_S2,04/05/2023,16:59:16.000,1.0242,-0.0132,0.0347,0.1144,1.7319,-2.4643,42.9104,-73.5606,13.1358,Inactive,0,20.84,
02_S2,04/05/2023,16:59:16.100,1.0247,-0.0142,0.0332,0.0992,1.7166,-2.4948,42.9104,-73.5606,13.1358,,,,
02_S2,04/05/2023,16:59:16.200,1.0242,-0.0139,0.0342,0.1068,1.6937,-2.4872,42.0346,-75.8959,13.4277,,,,
02_S2,04/05/2023,16:59:16.300,1.0239,-0.0139,0.0330,0.1144,1.6861,-2.4948,41.1589,-75.0202,14.0115,,,,
