TagID,Date,Time,accX,accY,accZ,gyroX,gyroY,gyroZ,compX,compY,compZ,Activity,Depth,Temp. (?C),Metadata
02_S4,04/05/2023,16:59:14.000,0.0671,-0.0020,0.9893,0.0458,0.6714,-1.4954,42.4725,-56.4840,3.6488,Active,0,-397.7,
02_S4,04/05/2023,16:59:14.100,0.0679,-0.0029,1.0278,-0.2136,1.7776,-2.7466,42.7644,-56.7760,3.3569,,,,
02_S4,04/05/2023,16:59:14.200,0.0674,-0.0027,1.0305,-0.2213,1.8387,-2.7924,42.4725,-57.0679,3.6488,,,,
02_S4,04/05/2023,16:59:14.300,0.0684,-0.0029,1.0310,-0.2365,1.8692,-2.8076,42.3265,-55.7543,3.5029,,,,
02_S4,04/05/2023,16:59:14.400,0.0679,-0.0029,1.0310,-0.2365,1.8463,-2.8000,42.3265,-55.7543,3.5029,,,,
02_S4,04/05/2023,16:59:14.500,0.0674,-0.0027,1.0308,-0.2365,1.8158,-2.7924,42.3265,-55.7543,3.5029,,,,
02_S4,04/05/2023,16:59:14.600,0.0671,-0.0022,1.0308,-0.2594,1.8463,-2.8000,42.4725,-57.0679,3.0650,,,,
02_S4,04/05/2023,16:59:14.700,0.0671,-0.0020,1.0312,-0.2365,1.8539,-2.8000,42.4725,-55.9002,2.7731,,,,
02_S4,04/05/2023,16:59:14.800,0.0681,-0.0024,1.0303,-0.2518,1.8234,-2.7847,42.6185,-56.9219,3.7948,,,,
02_S4,04/05/2023,16:59:14.900,0.0679,-0.0022,1.0312,-0.2289,1.8539,-2.8229,42.4725,-56.4840,3.6488,,,,
02_S4,04/05/2023,16:59:15.000,0.0681,-0.0037,1.0300,-0.2136,1.8997,-2.8076,41.1589,-56.6300,2.6272,Inactive,0,23.63,
02_S4,04/05/2023,16:59:15.100,0.0676,-0.0029,1.0305,-0.2213,1.8311,-2.8152,41.1589,-56.6300,2.6272,,,,
02_S4,04/05/2023,16:59:15.200,0.0679,-0.0034,1.0303,-0.2289,1.8234,-2.8381,42.3265,-56.3381,3.7948,,,,
02_S4,04/05/2023,16:59:15.300,0.0674,-0.0020,1.0305,-0.2289,1.8158,-2.8152,42.0346,-56.9219,2.3353,,,,
02_S4,04/05/2023,16:59:15.400,0.0667,-0.0034,1.0315,-0.2441,1.8387,-2.8152,43.6401,-57.0679,2.7731,,,,
02_S4,04/05/2023,16:59:15.500,0.0676,-0.0037,1.0308,-0.2289,1.8387,-2.8305,42.0346,-55.1705,2.9191,,,,
02_S4,04/05/2023,16:59:15.600,0.0676,-0.0037,1.0315,-0.2136,1.8311,-2.8000,42.0346,-55.1705,2.9191,,,,
02_S4,04/05/2023,16:59:15.700,0.0679,-0.0032,1.0295,-0.2136,1.8463,-2.7924,42.7644,-56.1921,3.6488,,,,
02_S4,04/05/2023,16:59:15.800,0.0674,-0.0032,1.0308,-0.2289,1.8692,-2.7924,42.6185,-56.3381,2.3353,,,,
02_S4,04/05/2023,16:59:15.900,0.0674,-0.0029,1.0310,-0.2365,1.8539,-2.8152,42.0346,-56.9219,3.5029,,,,
02_S4,04/05/2023,16:59:16.000,0.0674,-0.0034,1.0312,-0.2441,1.8387,-2.8229,43.6401,-56.7760,3.3569,Inactive,0,23.6,
02_S4,04/05/2023,16:59:16.100,0.0664,-0.0046,1.0308,-0.2060,1.8616,-2.8305,43.6401,-56.7760,3.3569,,,,
02_S4,04/05/2023,16:59:16.200,0.0669,-0.0039,1.0317,-0.2289,1.8463,-2.8305,42.1806,-56.1921,3.0650,,,,
02_S4,04/05/2023,16:59:16.300,0.0671,-0.0032,1.0312,-0.2213,1.8463,-2.8305,41.5968,-57.3598,1.8974,,,,
02_S4,04/05/2023,16:59:16.400,0.0676,-0.0024,1.0308,-0.2213,1.8539,-2.8152,41.3049,-55.6083,2.4812,,,,
