TagID;Date;Time;accX;accY;accZ;gyroX;gyroY;gyroZ;compX;compY;compZ;Activity;Depth;Temp. (?C);Metadata
04_S2;04/05/2023;16:59:14;-491;6631;-6763;-292816;-47607;-12817;-105087;-458294;-931184;Active;8.6728E+12;-36868;
04_S2;04/05/2023;16:59:14;-596;7485;-6443;-481873;-32043;-15488;-141575;-456835;-868424;;;;
04_S2;04/05/2023;16:59:14;-637;8003;-5735;-503387;-20599;33646;-170766;-459754;-865505;;;;
04_S2;04/05/2023;16:59:14;-547;8679;-5020;-576630;-1373;67444;-180982;-469971;-831936;;;;
04_S2;04/05/2023;16:59:14;-510;8792;-4658;-491791;45776;45090;-180982;-469971;-831936;;;;
04_S2;04/05/2023;16:59:14;-474;8906;-4294;-406952;93002;22736;-180982;-469971;-831936;;;;
04_S2;04/05/2023;16:59:15;-383;9077;-3730;-525742;160751;-44708;-195578;-464132;-802745;;;;
04_S2;04/05/2023;16:59:15;-593;9729;-2112;-679474;30670;9613;-207254;-478728;-750202;;;;
04_S2;04/05/2023;16:59:15;-254;10100;-1606;-515823;-12817;92163;-207254;-481647;-706415;;;;
04_S2;04/05/2023;16:59:15;-383;9412;-1367;-353165;-15259;55695;-213092;-469971;-691820;;;;
04_S2;04/05/2023;16:59:15;51;10420;-115;-446701;-58746;101547;-213092;-469971;-691820;Inactive;0;1934;
04_S2;04/05/2023;16:59:15;-264;9812;432;-389557;35400;-9537;-211633;-474349;-655332;;;;
04_S2;04/05/2023;16:59:15;88;10002;1362;-469971;-81482;98572;-198497;-484566;-621762;;;;
04_S2;04/05/2023;16:59:15;171;9963;1877;-301590;-29602;65765;-183902;-502080;-586733;;;;
04_S2;04/05/2023;16:59:15;571;10071;2427;-354309;-19608;118332;-180982;-502080;-589653;;;;
04_S2;04/05/2023;16:59:16;132;9568;3164;-531616;139618;-49286;-180982;-502080;-589653;;;;
04_S2;04/05/2023;16:59:16;205;9460;4104;-390854;56000;-49210;-175144;-496242;-522514;;;;
04_S2;04/05/2023;16:59:16;254;9219;4602;-430374;-71564;37231;-159089;-486025;-512297;;;;
04_S2;04/05/2023;16:59:16;107;8848;5730;-439377;136261;76370;-137196;-484566;-467052;;;;
04_S2;04/05/2023;16:59:16;591;8267;6013;-447159;-114059;136261;-112384;-506459;-459754;;;;
04_S2;04/05/2023;16:59:16;964;7798;6536;-531769;-144348;101852;-112384;-506459;-459754;Inactive;0;1934;
04_S2;04/05/2023;16:59:16;886;7009;7549;-654449;1678;71411;-97789;-521054;-418887;;;;
04_S2;04/05/2023;16:59:16;913;5940;8391;-786362;117874;40817;-37948;-519595;-399913;;;;
04_S2;04/05/2023;16:59:16;725;5535;8525;-295792;148773;47760;-17514;-507919;-364884;;;;
04_S2;04/05/2023;16:59:16;1455;4597;9778;-626068;-218201;49362;-17514;-507919;-364884;;;;
04_S2;04/05/2023;16:59:16;886;3647;9336;-527573;80795;85907;26272;-516676;-370722;;;;
04_S2;04/05/2023;16:59:17;916;3127;9856;-320511;108566;77362;61301;-516676;-356127;;;;
04_S2;04/05/2023;16:59:17;959;2598;10205;-410843;141220;96588;87572;-504999;-344450;;;;
04_S2;04/05/2023;16:59:17;730;1157;10298;-801697;126724;178146;144494;-500621;-328396;;;;
04_S2;04/05/2023;16:59:17;789;198;10327;-659103;-36163;172958;144494;-500621;-328396;;;;
04_S2;04/05/2023;16:59:17;764;-56;10393;-178299;-17624;-17700;202876;-506459;-337153;Inactive;0;1933;
04_S2;04/05/2023;16:59:17;1025;-1643;10095;-714264;-7858;-120163;210173;-513757;-347370;;;;
04_S2;04/05/2023;16:59:17;903;-1880;10144;-326080;42801;-55466;234985;-512297;-360505;;;;
04_S2;04/05/2023;16:59:17;933;-2451;10032;-292892;24643;-94604;259797;-519595;-359046;;;;
04_S2;04/05/2023;16:59:17;830;-3015;9878;-348358;44937;-25635;259797;-519595;-359046;;;;
04_S2;04/05/2023;16:59:17;813;-3894;9541;-521393;56076;14648;286069;-519595;-361965;;;;
04_S2;04/05/2023;16:59:18;745;-4534;9280;-504608;38757;15793;302124;-506459;-386777;;;;
04_S2;04/05/2023;16:59:18;593;-5198;8945;-302505;99792;48065;338612;-504999;-396994;;;;
