TagID,Date,Time,accX,accY,accZ,gyroX,gyroY,gyroZ,compX,compY,compZ,Activity,Depth,Temp. (?C),Metadata
05_S2,16/05/2023,16:19:26.000,0.0061,0.7859,0.6699,-53.2227,-5.3711,18.3487,3.3569,-13.5737,124.7903,Active,0,-381.28,
05_S2,16/05/2023,16:19:26.100,0.0955,0.6174,0.7395,-91.8121,-12.2452,25.5508,2.4812,-16.7847,131.2123,,,,
05_S2,16/05/2023,16:19:26.200,0.0732,0.5601,0.8525,-81.0776,-3.3340,-2.3041,5.1084,-17.0766,139.3857,,,,
05_S2,16/05/2023,16:19:26.300,0.0715,0.4387,0.8987,-73.5703,28.5950,6.0196,7.7355,-16.7847,144.0562,,,,
05_S2,16/05/2023,16:19:26.400,0.0989,0.3796,0.9309,-71.2662,4.6921,4.3488,-4773.9963,4765.9689,-4636.7999,,,,
05_S2,16/05/2023,16:19:26.500,0.1265,0.3203,0.9631,-68.9621,-19.2108,2.6779,9.6329,-16.6387,147.7050,,,,
05_S2,16/05/2023,16:19:26.600,0.1028,0.2495,0.9377,-68.8095,-2.3651,-5.2567,9.6329,-16.6387,147.7050,,,,
05_S2,16/05/2023,16:19:26.700,0.0562,-0.0044,0.9260,-78.4760,-3.4714,-23.3078,14.0115,-17.2225,151.4998,,,,
05_S2,16/05/2023,16:19:26.800,0.0879,-0.1919,1.0410,-106.3843,-25.9705,9.2468,20.4335,-17.5144,156.7542,,,,
05_S2,16/05/2023,16:19:26.900,0.0837,-0.3235,0.9355,-79.4220,-12.2375,37.9028,25.9797,-18.6821,160.2571,,,,
05_S2,16/05/2023,16:19:27.000,0.0864,-0.4717,0.9656,-96.6797,18.3334,33.1268,31.8179,-18.0982,161.4247,Inactive,0,22.79,
05_S2,16/05/2023,16:19:27.100,0.1648,-0.5933,0.7104,-149.3301,-13.9084,-13.9236,31.8179,-18.0982,161.4247,,,,
05_S2,16/05/2023,16:19:27.200,0.1375,-0.7805,0.4211,-208.2443,15.0146,9.3689,44.3699,-20.7254,161.1328,,,,
05_S2,16/05/2023,16:19:27.300,0.0286,-0.9534,0.2905,-129.1733,16.3040,9.8648,59.2572,-17.8063,155.5865,,,,
05_S2,16/05/2023,16:19:27.400,0.0532,-0.9937,0.0950,-114.2731,-13.0692,-6.7139,63.9277,-17.5144,149.4565,,,,
05_S2,16/05/2023,16:19:27.500,0.0713,-1.0059,-0.0527,-75.5310,-17.6620,11.9400,68.3063,-17.8063,145.0779,,,,
05_S2,16/05/2023,16:19:27.600,0.0708,-0.9800,-0.1682,-77.6215,-0.3815,-1.4725,69.7658,-18.0982,140.9912,,,,
05_S2,16/05/2023,16:19:27.700,-0.0178,-0.9600,-0.5095,-131.8054,-18.8599,14.9765,69.7658,-18.0982,140.9912,,,,
05_S2,16/05/2023,16:19:27.800,-0.0093,-0.7832,-0.5000,-92.3996,-32.1808,12.4283,71.6632,-16.4928,130.3366,,,,
