TagID,Date,Time,accX,accY,accZ,Temp. (?C),Metadata
1_S4,09/05/2023,09:33:34.000,0.016,0.031,1.032,23,
1_S4,09/05/2023,09:33:34.100,0.000,0.031,1.032,,
1_S4,09/05/2023,09:33:34.200,0.016,0.031,1.016,,
1_S4,09/05/2023,09:33:34.300,0.016,0.031,1.032,,
1_S4,09/05/2023,09:33:34.400,0.016,0.031,1.032,,
1_S4,09/05/2023,09:33:34.500,0.016,0.016,1.016,,
1_S4,09/05/2023,09:33:34.600,0.016,0.031,1.000,,
1_S4,09/05/2023,09:33:34.700,0.016,0.031,1.032,,
1_S4,09/05/2023,09:33:34.800,0.016,0.031,1.032,,
1_S4,09/05/2023,09:33:34.900,0.016,0.031,1.032,,
1_S4,09/05/2023,09:33:35.000,0.000,0.031,1.032,,
1_S4,09/05/2023,09:33:35.100,0.031,0.016,1.032,,
1_S4,09/05/2023,09:33:35.200,0.031,0.016,1.016,,
1_S4,09/05/2023,09:33:35.300,0.016,0.016,1.000,,
1_S4,09/05/2023,09:33:35.400,0.016,0.031,1.032,,
1_S4,09/05/2023,09:33:35.500,0.016,0.031,1.047,,
1_S4,09/05/2023,09:33:35.600,0.031,0.031,1.047,,
1_S4,09/05/2023,09:33:35.700,0.016,0.031,1.016,,
1_S4,09/05/2023,09:33:35.800,0.016,0.016,1.016,,
1_S4,09/05/2023,09:33:35.900,0.016,0.031,1.032,,
1_S4,09/05/2023,09:33:36.000,0.031,0.031,1.047,,
1_S4,09/05/2023,09:33:36.100,0.016,0.016,1.016,,
1_S4,09/05/2023,09:33:36.200,0.016,0.031,1.032,,
1_S4,09/05/2023,09:33:36.300,0.031,0.016,1.016,,
1_S4,09/05/2023,09:33:36.400,0.031,0.016,1.016,,
1_S4,09/05/2023,09:33:36.500,0.016,0.016,1.016,,
1_S4,09/05/2023,09:33:36.600,0.016,0.016,1.032,,
1_S4,09/05/2023,09:33:36.700,0.016,0.031,1.016,,
1_S4,09/05/2023,09:33:36.800,0.031,0.016,1.016,,
