TagID;Date;Time;accX;accY;accZ;magX;magY;magZ;Temp. (?C);Metadata
1_S6;10/05/2023;12:55:50.000;0.063;0.000;1.000;-174.0;1174.5;1561.5;24;
1_S6;10/05/2023;12:55:50.100;0.000;0.000;1.063;;;;;
1_S6;10/05/2023;12:55:50.200;0.063;-0.125;1.000;;;;;
1_S6;10/05/2023;12:55:50.300;0.000;-0.125;0.938;;;;;
1_S6;10/05/2023;12:55:50.400;-0.063;-0.125;0.938;;;;;
1_S6;10/05/2023;12:55:50.500;-0.063;-0.188;1.000;-142.5;1185.0;1567.5;;
1_S6;10/05/2023;12:55:50.600;-0.063;-0.125;1.000;;;;;
1_S6;10/05/2023;12:55:50.700;-0.125;-0.188;0.938;;;;;
1_S6;10/05/2023;12:55:50.800;-0.125;-0.188;1.000;;;;;
1_S6;10/05/2023;12:55:50.900;-0.250;-0.188;0.938;;;;;
1_S6;10/05/2023;12:55:51.000;-0.313;-0.313;0.875;-88.5;1257.0;1618.5;;
1_S6;10/05/2023;12:55:51.100;-0.375;-0.250;0.875;;;;;
1_S6;10/05/2023;12:55:51.200;-0.438;-0.250;0.875;;;;;
1_S6;10/05/2023;12:55:51.300;-0.500;-0.250;0.875;;;;;
1_S6;10/05/2023;12:55:51.400;-0.500;-0.250;0.813;;;;;
1_S6;10/05/2023;12:55:51.500;-0.563;-0.188;0.813;-4.5;1237.5;1657.5;;
1_S6;10/05/2023;12:55:51.600;-0.625;-0.250;0.750;;;;;
1_S6;10/05/2023;12:55:51.700;-0.625;-0.313;0.688;;;;;
1_S6;10/05/2023;12:55:51.800;-0.688;-0.313;0.625;;;;;
1_S6;10/05/2023;12:55:51.900;-0.750;-0.313;0.625;;;;;
1_S6;10/05/2023;12:55:52.000;-0.813;-0.250;0.563;-840.0;1201.5;1495.5;;
1_S6;10/05/2023;12:55:52.100;-0.813;-0.188;0.438;;;;;
1_S6;10/05/2023;12:55:52.200;-0.875;-0.313;0.313;;;;;
1_S6;10/05/2023;12:55:52.300;-0.875;-0.375;0.250;;;;;
1_S6;10/05/2023;12:55:52.400;-0.938;-0.375;0.250;;;;;
1_S6;10/05/2023;12:55:52.500;-0.938;-0.375;0.188;-852.0;1210.5;1621.5;;
1_S6;10/05/2023;12:55:52.600;-0.938;-0.313;0.125;;;;;
1_S6;10/05/2023;12:55:52.700;-1.000;-0.250;0.063;;;;;
1_S6;10/05/2023;12:55:52.800;-1.000;-0.250;-0.125;;;;;
1_S6;10/05/2023;12:55:52.900;-1.000;-0.250;-0.188;;;;;
1_S6;10/05/2023;12:55:53.000;-0.938;-0.313;-0.188;-834.0;1237.5;1702.5;;
1_S6;10/05/2023;12:55:53.100;-0.938;-0.250;-0.250;;;;;
1_S6;10/05/2023;12:55:53.200;-0.875;-0.250;-0.313;;;;;
1_S6;10/05/2023;12:55:53.300;-0.875;-0.375;-0.375;;;;;
1_S6;10/05/2023;12:55:53.400;-0.813;-0.375;-0.438;;;;;
1_S6;10/05/2023;12:55:53.500;-0.813;-0.313;-0.500;-985.5;1207.5;1878.0;;
1_S6;10/05/2023;12:55:53.600;-0.750;-0.313;-0.563;;;;;
1_S6;10/05/2023;12:55:53.700;-0.750;-0.375;-0.688;;;;;
1_S6;10/05/2023;12:55:53.800;-0.625;-0.375;-0.625;;;;;
1_S6;10/05/2023;12:55:53.900;-0.625;-0.313;-0.813;;;;;
1_S6;10/05/2023;12:55:54.000;-0.438;-0.313;-0.813;-1102.5;1222.5;1933.5;;
