TagID,Date,Time,accX,accY,accZ,magX,magY,magZ,Temp. (?C),Metadata
1_S10,10/05/2023,13:59:35.000,-0.938,0.375,-0.188,-36.0,-556.5,-583.5,24,
1_S10,10/05/2023,13:59:35.100,-0.938,0.375,0.125,,,,,
1_S10,10/05/2023,13:59:35.200,-0.938,0.375,0.250,,,,,
1_S10,10/05/2023,13:59:35.300,-0.813,0.375,0.313,,,,,
1_S10,10/05/2023,13:59:35.400,-0.813,0.438,0.500,,,,,
1_S10,10/05/2023,13:59:35.500,-0.750,0.438,0.625,-169.5,-523.5,-742.5,,
1_S10,10/05/2023,13:59:35.600,-0.625,0.438,0.750,,,,,
1_S10,10/05/2023,13:59:35.700,-0.375,0.500,0.875,,,,,
1_S10,10/05/2023,13:59:35.800,-0.313,0.438,0.938,,,,,
1_S10,10/05/2023,13:59:35.900,-0.313,1.188,0.750,,,,,
1_S10,10/05/2023,13:59:36.000,0.000,0.375,0.875,-465.0,-460.5,-789.0,,
1_S10,10/05/2023,13:59:36.100,0.125,0.313,0.875,,,,,
1_S10,10/05/2023,13:59:36.200,0.250,0.313,0.875,,,,,
1_S10,10/05/2023,13:59:36.300,0.375,0.500,1.000,,,,,
1_S10,10/05/2023,13:59:36.400,0.313,0.313,0.875,,,,,
1_S10,10/05/2023,13:59:36.500,0.313,0.375,0.875,-636.0,-427.5,-697.5,,
1_S10,10/05/2023,13:59:36.600,0.563,0.375,0.938,,,,,
1_S10,10/05/2023,13:59:36.700,0.625,0.188,0.750,,,,,
1_S10,10/05/2023,13:59:36.800,0.563,0.250,0.813,,,,,
1_S10,10/05/2023,13:59:36.900,0.563,0.188,0.688,,,,,
1_S10,10/05/2023,13:59:37.000,0.625,0.063,0.688,-666.0,-450.0,-531.0,,
1_S10,10/05/2023,13:59:37.100,0.625,0.063,0.625,,,,,
1_S10,10/05/2023,13:59:37.200,0.750,0.063,0.625,,,,,
1_S10,10/05/2023,13:59:37.300,0.688,0.000,0.625,,,,,
1_S10,10/05/2023,13:59:37.400,0.688,0.000,0.563,,,,,
1_S10,10/05/2023,13:59:37.500,0.750,0.063,0.625,-769.5,-415.5,-453.0,,
1_S10,10/05/2023,13:59:37.600,0.688,0.063,0.563,,,,,
1_S10,10/05/2023,13:59:37.700,0.750,0.063,0.625,,,,,
1_S10,10/05/2023,13:59:37.800,0.813,-0.125,0.625,,,,,
1_S10,10/05/2023,13:59:37.900,0.750,0.063,0.500,,,,,
1_S10,10/05/2023,13:59:38.000,0.750,-0.063,0.375,-780.0,-417.0,-415.5,,
1_S10,10/05/2023,13:59:38.100,0.875,-0.063,0.500,,,,,
1_S10,10/05/2023,13:59:38.200,0.625,-0.813,0.438,,,,,
1_S10,10/05/2023,13:59:38.300,0.813,0.063,0.438,,,,,
1_S10,10/05/2023,13:59:38.400,0.938,0.125,0.250,,,,,
1_S10,10/05/2023,13:59:38.500,0.938,-0.063,0.125,-780.0,-477.0,-301.5,,
1_S10,10/05/2023,13:59:38.600,0.875,0.250,-0.250,,,,,
1_S10,10/05/2023,13:59:38.700,0.750,0.188,-0.563,,,,,
1_S10,10/05/2023,13:59:38.800,0.625,0.438,-0.688,,,,,
1_S10,10/05/2023,13:59:38.900,0.625,0.313,-0.750,,,,,
1_S10,10/05/2023,13:59:39.000,0.375,0.313,-0.688,-489.0,-462.0,-52.5,,
1_S10,10/05/2023,13:59:39.100,0.375,0.375,-0.825,,,,,
1_S10,10/05/2023,13:59:39.200,0.375,0.375,-0.925,,,,,
1_S10,10/05/2023,13:59:39.300,0.338,0.394,-0.894,,,,,
1_S10,10/05/2023,13:59:39.400,0.275,0.438,-0.938,,,,,
1_S10,10/05/2023,13:59:39.500,0.313,0.406,-0.907,-357.0,-564.0,-12.0,,
1_S10,10/05/2023,13:59:39.600,0.313,0.375,-0.950,,,,,
1_S10,10/05/2023,13:59:39.700,0.138,0.375,-1.000,,,,,
1_S10,10/05/2023,13:59:39.800,0.113,0.375,-0.950,,,,,
1_S10,10/05/2023,13:59:39.900,0.063,0.438,-1.000,,,,,
1_S10,10/05/2023,13:59:40.000,-0.125,0.375,-0.938,-283.5,-448.5,-37.5,24,
1_S10,10/05/2023,13:59:40.100,-0.250,0.375,-0.875,,,,,
1_S10,10/05/2023,13:59:40.200,-0.375,0.563,-0.875,,,,,
1_S10,10/05/2023,13:59:40.300,-0.375,0.500,-0.875,,,,,
1_S10,10/05/2023,13:59:40.400,-0.500,0.313,-0.813,,,,,
1_S10,10/05/2023,13:59:40.500,-0.500,0.438,-0.813,-130.5,-459.0,-174.0,,
1_S10,10/05/2023,13:59:40.600,-0.688,0.375,-0.688,,,,,
1_S10,10/05/2023,13:59:40.700,-0.688,0.375,-0.688,,,,,
