TagID,Date,Time,accX,accY,accZ,magX,magY,magZ,Temp. (?C),Metadata
1_S7,10/05/2023,13:13:53.000,0.813,-0.188,0.125,789.0,712.5,-1144.5,24,
1_S7,10/05/2023,13:13:53.100,0.875,-0.125,-0.375,,,,,
1_S7,10/05/2023,13:13:53.200,0.813,-0.188,-0.500,,,,,
1_S7,10/05/2023,13:13:53.300,0.750,-0.250,-0.563,,,,,
1_S7,10/05/2023,13:13:53.400,0.688,-0.250,-0.500,,,,,
1_S7,10/05/2023,13:13:53.500,0.688,-0.188,-0.563,793.5,756.0,-934.5,,
1_S7,10/05/2023,13:13:53.600,0.625,-0.250,-0.688,,,,,
1_S7,10/05/2023,13:13:53.700,0.500,-0.250,-0.813,,,,,
1_S7,10/05/2023,13:13:53.800,0.313,-0.313,-0.875,,,,,
1_S7,10/05/2023,13:13:53.900,0.125,-0.313,-0.875,,,,,
1_S7,10/05/2023,13:13:54.000,0.063,-0.313,-1.000,1723.5,1030.5,-1429.5,,
1_S7,10/05/2023,13:13:54.100,0.000,-0.250,-1.000,,,,,
1_S7,10/05/2023,13:13:54.200,-0.063,-0.188,-0.938,,,,,
1_S7,10/05/2023,13:13:54.300,-0.250,-0.188,-1.000,,,,,
1_S7,10/05/2023,13:13:54.400,-0.313,-0.188,-0.938,,,,,
1_S7,10/05/2023,13:13:54.500,-0.313,-0.188,-0.938,1111.5,931.5,-1611.0,,
1_S7,10/05/2023,13:13:54.600,-0.438,-0.188,-0.875,,,,,
1_S7,10/05/2023,13:13:54.700,-0.563,-0.188,-0.813,,,,,
1_S7,10/05/2023,13:13:54.800,-0.688,-0.188,-0.875,,,,,
1_S7,10/05/2023,13:13:54.900,-0.688,-0.188,-0.813,,,,,
1_S7,10/05/2023,13:13:55.000,-0.750,-0.250,-0.625,517.5,879.0,-2418.0,,
1_S7,10/05/2023,13:13:55.100,-0.813,-0.125,-0.625,,,,,
1_S7,10/05/2023,13:13:55.200,-0.813,-0.125,-0.625,,,,,
1_S7,10/05/2023,13:13:55.300,-0.813,-0.188,-0.438,,,,,
1_S7,10/05/2023,13:13:55.400,-1.000,0.000,-0.438,,,,,
1_S7,10/05/2023,13:13:55.500,-1.000,0.000,-0.250,232.5,804.0,-3414.0,,
1_S7,10/05/2023,13:13:55.600,-1.063,0.125,-0.125,,,,,
1_S7,10/05/2023,13:13:55.700,-1.000,0.250,0.000,,,,,
1_S7,10/05/2023,13:13:55.800,-1.000,0.125,0.063,,,,,
1_S7,10/05/2023,13:13:55.900,-1.000,0.063,0.188,,,,,
1_S7,10/05/2023,13:13:56.000,-1.000,-0.063,0.250,-1530.0,235.5,-2712.0,,
1_S7,10/05/2023,13:13:56.100,-0.938,0.063,0.313,,,,,
1_S7,10/05/2023,13:13:56.200,-0.875,0.000,0.563,,,,,
1_S7,10/05/2023,13:13:56.300,-0.688,0.000,0.750,,,,,
1_S7,10/05/2023,13:13:56.400,-0.750,-0.063,0.813,,,,,
1_S7,10/05/2023,13:13:56.500,-0.750,-0.188,0.750,-1572.0,291.0,-2859.0,,
1_S7,10/05/2023,13:13:56.600,-0.625,-0.063,0.813,,,,,
1_S7,10/05/2023,13:13:56.700,-0.563,0.063,0.813,,,,,
1_S7,10/05/2023,13:13:56.800,-0.438,0.188,0.875,,,,,
1_S7,10/05/2023,13:13:56.900,-0.438,0.438,0.813,,,,,
1_S7,10/05/2023,13:13:57.000,-0.438,0.625,0.813,-1420.5,214.5,-2707.5,,
1_S7,10/05/2023,13:13:57.100,-0.419,0.631,0.750,,,,,
1_S7,10/05/2023,13:13:57.200,-0.238,0.675,0.788,,,,,
1_S7,10/05/2023,13:13:57.300,-0.169,0.588,0.919,,,,,
1_S7,10/05/2023,13:13:57.400,-0.075,0.500,0.900,,,,,
1_S7,10/05/2023,13:13:57.500,0.031,0.469,0.907,-159.0,547.5,-2794.5,,
1_S7,10/05/2023,13:13:57.600,0.213,0.363,0.950,,,,,
1_S7,10/05/2023,13:13:57.700,0.181,0.444,0.913,,,,,
1_S7,10/05/2023,13:13:57.800,0.175,0.450,0.875,,,,,
1_S7,10/05/2023,13:13:57.900,0.313,0.500,0.813,,,,,
1_S7,10/05/2023,13:13:58.000,0.438,0.375,0.875,-138.0,550.5,-2787.0,24,
1_S7,10/05/2023,13:13:58.100,0.500,0.375,0.750,,,,,
1_S7,10/05/2023,13:13:58.200,0.438,0.313,0.813,,,,,
1_S7,10/05/2023,13:13:58.300,0.500,0.438,0.750,,,,,
1_S7,10/05/2023,13:13:58.400,0.625,0.375,0.688,,,,,
1_S7,10/05/2023,13:13:58.500,0.625,0.375,0.688,-253.5,589.5,-2758.5,,
1_S7,10/05/2023,13:13:58.600,0.625,0.313,0.563,,,,,
1_S7,10/05/2023,13:13:58.700,0.688,0.313,0.563,,,,,
1_S7,10/05/2023,13:13:58.800,0.750,0.313,0.500,,,,,
1_S7,10/05/2023,13:13:58.900,0.750,0.375,0.375,,,,,
1_S7,10/05/2023,13:13:59.000,0.750,0.375,0.313,-534.0,694.5,-2700.0,,
1_S7,10/05/2023,13:13:59.100,0.750,0.313,0.188,,,,,
1_S7,10/05/2023,13:13:59.200,0.875,0.438,0.125,,,,,
1_S7,10/05/2023,13:13:59.300,0.875,0.375,0.125,,,,,
1_S7,10/05/2023,13:13:59.400,0.875,0.313,0.125,,,,,
1_S7,10/05/2023,13:13:59.500,0.938,0.375,0.063,-537.0,709.5,-2568.0,,
1_S7,10/05/2023,13:13:59.600,0.938,0.438,0.000,,,,,
1_S7,10/05/2023,13:13:59.700,0.875,0.438,0.063,,,,,
1_S7,10/05/2023,13:13:59.800,0.875,0.375,-0.125,,,,,
1_S7,10/05/2023,13:13:59.900,0.938,0.375,-0.125,,,,,
1_S7,10/05/2023,13:14:00.000,0.875,1.063,0.000,-657.0,673.5,-2521.5,,
1_S7,10/05/2023,13:14:00.100,0.813,0.375,-0.188,,,,,
1_S7,10/05/2023,13:14:00.200,0.813,0.438,-0.375,,,,,
1_S7,10/05/2023,13:14:00.300,0.750,0.438,-0.438,,,,,
1_S7,10/05/2023,13:14:00.400,0.563,0.500,-0.438,,,,,
1_S7,10/05/2023,13:14:00.500,0.625,0.563,-0.625,-1023.0,748.5,-2211.0,,
1_S7,10/05/2023,13:14:00.600,0.375,0.500,-0.813,,,,,
1_S7,10/05/2023,13:14:00.700,0.313,0.563,-0.813,,,,,
1_S7,10/05/2023,13:14:00.800,0.375,0.500,-0.875,,,,,
1_S7,10/05/2023,13:14:00.900,0.250,0.563,-0.813,,,,,
1_S7,10/05/2023,13:14:01.000,0.063,0.563,-0.875,-801.0,750.0,-2209.5,,
1_S7,10/05/2023,13:14:01.100,0.063,0.750,-0.875,,,,,
1_S7,10/05/2023,13:14:01.200,0.000,0.563,-0.875,,,,,
1_S7,10/05/2023,13:14:01.300,-0.125,0.625,-0.875,,,,,
1_S7,10/05/2023,13:14:01.400,-0.250,0.500,-0.875,,,,,
1_S7,10/05/2023,13:14:01.500,-0.188,0.500,-0.875,-726.0,774.0,-2233.5,,
1_S7,10/05/2023,13:14:01.600,-0.250,0.625,-0.875,,,,,
1_S7,10/05/2023,13:14:01.700,-0.375,0.625,-0.750,,,,,
1_S7,10/05/2023,13:14:01.800,-0.438,0.688,-0.750,,,,,
1_S7,10/05/2023,13:14:01.900,-0.500,0.688,-0.688,,,,,
1_S7,10/05/2023,13:14:02.000,-0.500,0.688,-0.688,-736.5,741.0,-2364.0,,
1_S7,10/05/2023,13:14:02.100,-0.569,0.550,-0.638,,,,,
1_S7,10/05/2023,13:14:02.200,-0.613,0.500,-0.700,,,,,
1_S7,10/05/2023,13:14:02.300,-0.581,0.750,-0.481,,,,,
1_S7,10/05/2023,13:14:02.400,-0.600,0.725,-0.413,,,,,
1_S7,10/05/2023,13:14:02.500,-0.656,0.688,-0.406,460.5,430.5,-2356.5,,
1_S7,10/05/2023,13:14:02.600,-0.750,0.725,-0.400,,,,,
1_S7,10/05/2023,13:14:02.700,-0.750,0.838,-0.244,,,,,
1_S7,10/05/2023,13:14:02.800,-0.750,0.875,-0.188,,,,,
1_S7,10/05/2023,13:14:02.900,-0.688,0.875,-0.250,,,,,
1_S7,10/05/2023,13:14:03.000,-0.625,0.813,-0.125,567.0,364.5,-1957.5,24,
1_S7,10/05/2023,13:14:03.100,-0.688,0.813,-0.188,,,,,
1_S7,10/05/2023,13:14:03.200,-0.625,0.750,0.000,,,,,
1_S7,10/05/2023,13:14:03.300,-0.625,0.875,0.063,,,,,
1_S7,10/05/2023,13:14:03.400,-0.625,0.938,0.063,,,,,
1_S7,10/05/2023,13:14:03.500,-0.563,0.938,0.125,520.5,231.0,-1597.5,,
1_S7,10/05/2023,13:14:03.600,-0.563,0.875,0.188,,,,,
1_S7,10/05/2023,13:14:03.700,-0.563,0.875,0.313,,,,,
1_S7,10/05/2023,13:14:03.800,-0.563,0.938,0.375,,,,,
1_S7,10/05/2023,13:14:03.900,-0.563,0.875,0.375,,,,,
1_S7,10/05/2023,13:14:04.000,-0.375,0.813,0.563,510.0,274.5,-1695.0,,
1_S7,10/05/2023,13:14:04.100,-0.125,0.813,0.688,,,,,
1_S7,10/05/2023,13:14:04.200,-0.125,0.813,0.688,,,,,
1_S7,10/05/2023,13:14:04.300,0.000,0.813,0.688,,,,,
1_S7,10/05/2023,13:14:04.400,0.063,0.813,0.750,,,,,
1_S7,10/05/2023,13:14:04.500,0.188,0.750,0.750,255.0,250.5,-1521.0,,
1_S7,10/05/2023,13:14:04.600,0.250,0.688,0.688,,,,,
1_S7,10/05/2023,13:14:04.700,0.313,0.688,0.688,,,,,
1_S7,10/05/2023,13:14:04.800,0.313,0.688,0.688,,,,,
1_S7,10/05/2023,13:14:04.900,0.375,0.625,0.750,,,,,
1_S7,10/05/2023,13:14:05.000,0.438,0.500,0.750,165.0,261.0,-1183.5,,
1_S7,10/05/2023,13:14:05.100,0.500,0.500,0.750,,,,,
1_S7,10/05/2023,13:14:05.200,0.500,0.375,0.750,,,,,
1_S7,10/05/2023,13:14:05.300,0.625,0.438,0.625,,,,,
1_S7,10/05/2023,13:14:05.400,0.625,0.500,0.563,,,,,
1_S7,10/05/2023,13:14:05.500,0.625,0.625,0.375,232.5,304.5,-972.0,,
1_S7,10/05/2023,13:14:05.600,0.625,0.688,0.313,,,,,
1_S7,10/05/2023,13:14:05.700,0.688,0.813,0.188,,,,,
1_S7,10/05/2023,13:14:05.800,0.625,0.750,0.125,,,,,
1_S7,10/05/2023,13:14:05.900,0.563,0.875,0.063,,,,,
1_S7,10/05/2023,13:14:06.000,0.438,1.063,-0.125,577.5,414.0,-1240.5,,
1_S7,10/05/2023,13:14:06.100,0.438,0.938,0.000,,,,,
1_S7,10/05/2023,13:14:06.200,0.500,0.938,-0.188,,,,,
1_S7,10/05/2023,13:14:06.300,0.438,0.938,-0.313,,,,,
1_S7,10/05/2023,13:14:06.400,0.438,0.938,-0.375,,,,,
1_S7,10/05/2023,13:14:06.500,0.250,0.875,-0.375,738.0,490.5,-1321.5,,
1_S7,10/05/2023,13:14:06.600,0.125,0.938,-0.500,,,,,
1_S7,10/05/2023,13:14:06.700,0.063,0.938,-0.500,,,,,
1_S7,10/05/2023,13:14:06.800,0.000,0.938,-0.438,,,,,
1_S7,10/05/2023,13:14:06.900,-0.063,0.938,-0.500,,,,,
1_S7,10/05/2023,13:14:07.000,-0.063,0.938,-0.438,765.0,465.0,-1447.5,,
1_S7,10/05/2023,13:14:07.100,-0.125,0.875,-0.569,,,,,
1_S7,10/05/2023,13:14:07.200,-0.138,0.863,-0.625,,,,,
1_S7,10/05/2023,13:14:07.300,-0.225,0.794,-0.644,,,,,
1_S7,10/05/2023,13:14:07.400,-0.313,0.725,-0.688,,,,,
1_S7,10/05/2023,13:14:07.500,-0.344,0.719,-0.656,1059.0,634.5,-1338.0,,
1_S7,10/05/2023,13:14:07.600,-0.488,0.750,-0.550,,,,,
1_S7,10/05/2023,13:14:07.700,-0.563,0.838,-0.325,,,,,
1_S7,10/05/2023,13:14:07.800,-0.613,0.825,-0.250,,,,,
1_S7,10/05/2023,13:14:07.900,-0.625,0.875,-0.250,,,,,
1_S7,10/05/2023,13:14:08.000,-0.750,0.750,-0.188,1002.0,607.5,-1749.0,24,
1_S7,10/05/2023,13:14:08.100,-0.813,0.625,-0.125,,,,,
1_S7,10/05/2023,13:14:08.200,-0.813,0.625,-0.125,,,,,
1_S7,10/05/2023,13:14:08.300,-0.813,0.625,0.125,,,,,
1_S7,10/05/2023,13:14:08.400,-0.875,0.625,0.188,,,,,
1_S7,10/05/2023,13:14:08.500,-0.813,0.563,0.250,1086.0,685.5,-1767.0,,
1_S7,10/05/2023,13:14:08.600,-1.000,0.500,0.313,,,,,
1_S7,10/05/2023,13:14:08.700,-0.938,0.438,0.125,,,,,
1_S7,10/05/2023,13:14:08.800,-0.938,0.250,0.500,,,,,
1_S7,10/05/2023,13:14:08.900,-0.813,0.313,0.625,,,,,
1_S7,10/05/2023,13:14:09.000,-0.625,0.250,0.813,1077.0,856.5,-2043.0,,
1_S7,10/05/2023,13:14:09.100,-0.625,0.250,0.813,,,,,
1_S7,10/05/2023,13:14:09.200,-0.625,0.250,0.875,,,,,
1_S7,10/05/2023,13:14:09.300,-0.313,0.063,0.938,,,,,
1_S7,10/05/2023,13:14:09.400,-0.250,0.188,0.938,,,,,
1_S7,10/05/2023,13:14:09.500,-0.188,0.250,1.000,825.0,909.0,-2056.5,,
1_S7,10/05/2023,13:14:09.600,-0.063,0.375,0.938,,,,,
1_S7,10/05/2023,13:14:09.700,0.000,0.313,0.938,,,,,
1_S7,10/05/2023,13:14:09.800,0.000,0.375,0.938,,,,,
1_S7,10/05/2023,13:14:09.900,0.188,0.375,0.938,,,,,
1_S7,10/05/2023,13:14:10.000,0.375,0.375,0.938,663.0,709.5,-1744.5,,
1_S7,10/05/2023,13:14:10.100,0.375,0.438,0.875,,,,,
1_S7,10/05/2023,13:14:10.200,0.500,0.438,0.875,,,,,
1_S7,10/05/2023,13:14:10.300,0.563,0.313,0.750,,,,,
1_S7,10/05/2023,13:14:10.400,0.625,0.250,0.750,,,,,
1_S7,10/05/2023,13:14:10.500,0.688,0.125,0.625,498.0,832.5,-846.0,,
1_S7,10/05/2023,13:14:10.600,0.750,0.063,0.625,,,,,
1_S7,10/05/2023,13:14:10.700,0.750,0.063,0.625,,,,,
1_S7,10/05/2023,13:14:10.800,0.750,-0.063,0.688,,,,,
1_S7,10/05/2023,13:14:10.900,0.688,-0.125,0.750,,,,,
1_S7,10/05/2023,13:14:11.000,0.688,-0.125,0.688,433.5,816.0,-717.0,,
1_S7,10/05/2023,13:14:11.100,0.619,-0.313,0.744,,,,,
1_S7,10/05/2023,13:14:11.200,0.550,-0.338,0.675,,,,,
1_S7,10/05/2023,13:14:11.300,0.500,-0.494,0.625,,,,,
1_S7,10/05/2023,13:14:11.400,0.500,-0.625,0.575,,,,,
1_S7,10/05/2023,13:14:11.500,0.469,-0.656,0.469,7446.0,-2685.0,5157.0,,
1_S7,10/05/2023,13:14:11.600,0.475,-0.725,0.513,,,,,
1_S7,10/05/2023,13:14:11.700,0.544,-0.882,0.256,,,,,
1_S7,10/05/2023,13:14:11.800,0.413,-0.838,0.075,,,,,
1_S7,10/05/2023,13:14:11.900,0.438,-0.813,0.000,,,,,
1_S7,10/05/2023,13:14:12.000,0.563,-0.750,-0.188,10261.5,-5820.0,8779.5,,
1_S7,10/05/2023,13:14:12.100,0.563,-0.750,-0.250,,,,,
1_S7,10/05/2023,13:14:12.200,0.625,-0.500,-0.250,,,,,
1_S7,10/05/2023,13:14:12.300,0.625,-0.625,-0.375,,,,,
1_S7,10/05/2023,13:14:12.400,0.625,-0.500,-0.500,,,,,
1_S7,10/05/2023,13:14:12.500,0.625,-0.500,-0.500,-4056.0,14121.0,13414.5,,
1_S7,10/05/2023,13:14:12.600,0.813,-0.375,-0.625,,,,,
1_S7,10/05/2023,13:14:12.700,0.750,-0.250,-0.688,,,,,
1_S7,10/05/2023,13:14:12.800,0.563,-0.188,-0.625,,,,,
1_S7,10/05/2023,13:14:12.900,0.688,-0.188,-0.688,,,,,
1_S7,10/05/2023,13:14:13.000,0.563,-0.125,-0.688,3940.5,1219.5,385.5,24,
1_S7,10/05/2023,13:14:13.100,0.563,0.063,-0.813,,,,,
1_S7,10/05/2023,13:14:13.200,0.438,0.063,-0.813,,,,,
1_S7,10/05/2023,13:14:13.300,0.250,0.250,-0.875,,,,,
1_S7,10/05/2023,13:14:13.400,0.188,0.313,-0.938,,,,,
1_S7,10/05/2023,13:14:13.500,0.188,0.500,-0.938,1272.0,960.0,-1176.0,,
1_S7,10/05/2023,13:14:13.600,0.188,0.625,-0.813,,,,,
1_S7,10/05/2023,13:14:13.700,0.125,0.750,-0.688,,,,,
1_S7,10/05/2023,13:14:13.800,0.125,0.938,-0.625,,,,,
1_S7,10/05/2023,13:14:13.900,0.125,0.938,-0.125,,,,,
1_S7,10/05/2023,13:14:14.000,0.188,1.000,0.000,325.5,478.5,-1416.0,,
1_S7,10/05/2023,13:14:14.100,0.125,1.063,0.063,,,,,
1_S7,10/05/2023,13:14:14.200,0.250,0.938,0.250,,,,,
1_S7,10/05/2023,13:14:14.300,0.188,0.813,0.563,,,,,
1_S7,10/05/2023,13:14:14.400,0.250,0.625,0.750,,,,,
1_S7,10/05/2023,13:14:14.500,0.250,0.563,0.688,256.5,687.0,-1546.5,,
1_S7,10/05/2023,13:14:14.600,0.438,0.375,0.875,,,,,
1_S7,10/05/2023,13:14:14.700,0.438,0.438,0.813,,,,,
1_S7,10/05/2023,13:14:14.800,0.438,0.375,0.688,,,,,
1_S7,10/05/2023,13:14:14.900,0.375,0.063,1.125,,,,,
1_S7,10/05/2023,13:14:15.000,0.438,-0.125,1.000,289.5,790.5,-1101.0,,
1_S7,10/05/2023,13:14:15.100,0.500,-0.125,0.813,,,,,
1_S7,10/05/2023,13:14:15.200,0.375,-0.188,0.875,,,,,
1_S7,10/05/2023,13:14:15.300,0.438,-0.313,0.813,,,,,
1_S7,10/05/2023,13:14:15.400,0.313,-0.375,0.813,,,,,
1_S7,10/05/2023,13:14:15.500,0.375,-0.375,0.750,891.0,969.0,-348.0,,
1_S7,10/05/2023,13:14:15.600,0.438,-0.563,0.563,,,,,
1_S7,10/05/2023,13:14:15.700,0.500,-0.563,0.500,,,,,
1_S7,10/05/2023,13:14:15.800,0.625,-0.688,0.313,,,,,
1_S7,10/05/2023,13:14:15.900,0.625,-1.000,0.125,,,,,
1_S7,10/05/2023,13:14:16.000,0.563,-0.688,0.375,-13791.0,11949.0,6220.5,,
