TagID;Date;Time;accX;accY;accZ;magX;magY;magZ;Temp. (?C);Metadata
3_S5_S6_S7;05/05/2023;10:30:47;688;-125;-563;-1020;885;9795;19;
3_S5_S6_S7;05/05/2023;10:30:47;800;-125;-619;;;;;
3_S5_S6_S7;05/05/2023;10:30:47;913;-125;-475;;;;;
3_S5_S6_S7;05/05/2023;10:30:47;938;-125;-306;;;;;
3_S5_S6_S7;05/05/2023;10:30:47;900;-125;-288;;;;;
3_S5_S6_S7;05/05/2023;10:30:47;875;-94;-313;-1620;660;7995;;
3_S5_S6_S7;05/05/2023;10:30:48;875;-88;-288;;;;;
3_S5_S6_S7;05/05/2023;10:30:48;913;-106;-231;;;;;
3_S5_S6_S7;05/05/2023;10:30:48;988;-63;-188;;;;;
3_S5_S6_S7;05/05/2023;10:30:48;938;-63;-188;;;;;
3_S5_S6_S7;05/05/2023;10:30:48;938;-125;-188;-1860;690;6945;;
3_S5_S6_S7;05/05/2023;10:30:48;1000;-125;-125;;;;;
3_S5_S6_S7;05/05/2023;10:30:48;1000;-125;-125;;;;;
3_S5_S6_S7;05/05/2023;10:30:48;938;-63;-125;;;;;
3_S5_S6_S7;05/05/2023;10:30:48;1000;-125;0;;;;;
3_S5_S6_S7;05/05/2023;10:30:48;1000;0;125;-1530;540;6195;;
3_S5_S6_S7;05/05/2023;10:30:49;938;-63;63;;;;;
3_S5_S6_S7;05/05/2023;10:30:49;938;0;188;;;;;
3_S5_S6_S7;05/05/2023;10:30:49;1000;0;188;;;;;
3_S5_S6_S7;05/05/2023;10:30:49;1000;0;250;;;;;
3_S5_S6_S7;05/05/2023;10:30:49;938;-63;188;-1155;510;5250;;
3_S5_S6_S7;05/05/2023;10:30:49;938;0;250;;;;;
3_S5_S6_S7;05/05/2023;10:30:49;875;0;250;;;;;
3_S5_S6_S7;05/05/2023;10:30:49;875;63;375;;;;;
3_S5_S6_S7;05/05/2023;10:30:49;813;0;438;;;;;
3_S5_S6_S7;05/05/2023;10:30:49;750;-63;500;-600;135;4185;;
3_S5_S6_S7;05/05/2023;10:30:50;625;63;688;;;;;
3_S5_S6_S7;05/05/2023;10:30:50;563;63;750;;;;;
3_S5_S6_S7;05/05/2023;10:30:50;438;63;813;;;;;
3_S5_S6_S7;05/05/2023;10:30:50;250;63;875;;;;;
3_S5_S6_S7;05/05/2023;10:30:50;188;0;1000;1830;135;2775;;
3_S5_S6_S7;05/05/2023;10:30:50;63;0;938;;;;;
3_S5_S6_S7;05/05/2023;10:30:50;-125;63;1000;;;;;
3_S5_S6_S7;05/05/2023;10:30:50;-188;0;938;;;;;
3_S5_S6_S7;05/05/2023;10:30:50;-500;0;938;;;;;
3_S5_S6_S7;05/05/2023;10:30:50;-438;0;875;4680;330;2820;;
3_S5_S6_S7;05/05/2023;10:30:51;-625;0;875;;;;;
3_S5_S6_S7;05/05/2023;10:30:51;-813;-125;563;;;;;
3_S5_S6_S7;05/05/2023;10:30:51;-938;-125;438;;;;;
3_S5_S6_S7;05/05/2023;10:30:51;-1000;-125;313;;;;;
3_S5_S6_S7;05/05/2023;10:30:51;-1000;-125;188;7275;630;5805;;
3_S5_S6_S7;05/05/2023;10:30:51;-1000;-125;131;;;;;
3_S5_S6_S7;05/05/2023;10:30:51;-1050;-125;75;;;;;
3_S5_S6_S7;05/05/2023;10:30:51;-1019;-125;63;;;;;
3_S5_S6_S7;05/05/2023;10:30:51;-1038;-125;100;;;;;
3_S5_S6_S7;05/05/2023;10:30:52;-1063;-94;94;7455;585;7155;;
3_S5_S6_S7;05/05/2023;10:30:52;-1063;-88;38;;;;;
3_S5_S6_S7;05/05/2023;10:30:52;-1044;-125;0;;;;;
3_S5_S6_S7;05/05/2023;10:30:52;-1000;-125;-25;;;;;
3_S5_S6_S7;05/05/2023;10:30:52;-1000;-125;-125;;;;;
3_S5_S6_S7;05/05/2023;10:30:52;-1063;-125;-125;7215;660;7920;19;
3_S5_S6_S7;05/05/2023;10:30:52;-1000;-125;-188;;;;;
3_S5_S6_S7;05/05/2023;10:30:52;-1000;-125;-188;;;;;
3_S5_S6_S7;05/05/2023;10:30:52;-1000;-63;-250;;;;;
3_S5_S6_S7;05/05/2023;10:30:52;-1000;-125;-250;;;;;
3_S5_S6_S7;05/05/2023;10:30:52;-1063;-125;-250;7020;585;8625;;
3_S5_S6_S7;05/05/2023;10:30:53;-1000;-63;-313;;;;;
3_S5_S6_S7;05/05/2023;10:30:53;-1000;0;-375;;;;;
3_S5_S6_S7;05/05/2023;10:30:53;-938;0;-500;;;;;
3_S5_S6_S7;05/05/2023;10:30:53;-938;0;-625;;;;;
3_S5_S6_S7;05/05/2023;10:30:53;-688;0;-875;5895;150;9855;;
3_S5_S6_S7;05/05/2023;10:30:53;-375;0;-938;;;;;
3_S5_S6_S7;05/05/2023;10:30:53;-63;125;-1063;;;;;
3_S5_S6_S7;05/05/2023;10:30:53;63;0;-938;;;;;
3_S5_S6_S7;05/05/2023;10:30:53;313;63;-938;;;;;
3_S5_S6_S7;05/05/2023;10:30:54;438;0;-813;720;225;10395;;
3_S5_S6_S7;05/05/2023;10:30:54;563;63;-750;;;;;
3_S5_S6_S7;05/05/2023;10:30:54;688;63;-688;;;;;
3_S5_S6_S7;05/05/2023;10:30:54;813;0;-625;;;;;
3_S5_S6_S7;05/05/2023;10:30:54;875;63;-500;;;;;
3_S5_S6_S7;05/05/2023;10:30:54;813;0;-375;-1395;240;8250;;
3_S5_S6_S7;05/05/2023;10:30:54;938;0;-188;;;;;
3_S5_S6_S7;05/05/2023;10:30:54;1063;0;-313;;;;;
3_S5_S6_S7;05/05/2023;10:30:54;1000;63;-125;;;;;
3_S5_S6_S7;05/05/2023;10:30:54;1000;0;-63;;;;;
3_S5_S6_S7;05/05/2023;10:30:54;938;0;63;-1740;315;6630;;
3_S5_S6_S7;05/05/2023;10:30:55;1000;63;125;;;;;
3_S5_S6_S7;05/05/2023;10:30:55;1000;0;125;;;;;
3_S5_S6_S7;05/05/2023;10:30:55;1063;-125;125;;;;;
3_S5_S6_S7;05/05/2023;10:30:55;938;0;250;;;;;
3_S5_S6_S7;05/05/2023;10:30:55;938;-63;188;-1560;510;5535;;
3_S5_S6_S7;05/05/2023;10:30:55;882;-63;188;;;;;
3_S5_S6_S7;05/05/2023;10:30:55;925;-13;288;;;;;
3_S5_S6_S7;05/05/2023;10:30:55;938;44;356;;;;;
3_S5_S6_S7;05/05/2023;10:30:55;900;25;338;;;;;
3_S5_S6_S7;05/05/2023;10:30:55;844;31;375;-990;300;4695;;
3_S5_S6_S7;05/05/2023;10:30:56;813;38;488;;;;;
3_S5_S6_S7;05/05/2023;10:30:56;775;0;600;;;;;
3_S5_S6_S7;05/05/2023;10:30:56;663;0;700;;;;;
3_S5_S6_S7;05/05/2023;10:30:56;563;0;750;;;;;
3_S5_S6_S7;05/05/2023;10:30:56;375;0;875;1425;300;2655;;
3_S5_S6_S7;05/05/2023;10:30:56;188;63;875;;;;;
3_S5_S6_S7;05/05/2023;10:30:56;-63;0;938;;;;;
3_S5_S6_S7;05/05/2023;10:30:56;-188;63;938;;;;;
3_S5_S6_S7;05/05/2023;10:30:56;-375;0;875;;;;;
3_S5_S6_S7;05/05/2023;10:30:56;-500;-63;813;5670;510;3600;;
3_S5_S6_S7;05/05/2023;10:30:57;-750;-125;563;;;;;
3_S5_S6_S7;05/05/2023;10:30:57;-938;-125;250;;;;;
3_S5_S6_S7;05/05/2023;10:30:57;-1000;-125;125;;;;;
3_S5_S6_S7;05/05/2023;10:30:57;-1063;-125;125;;;;;
3_S5_S6_S7;05/05/2023;10:30:57;-1000;-125;0;7485;660;7350;19;
3_S5_S6_S7;05/05/2023;10:30:57;-1000;-125;-63;;;;;
3_S5_S6_S7;05/05/2023;10:30:57;-1063;-125;-125;;;;;
3_S5_S6_S7;05/05/2023;10:30:57;-1000;-125;-63;;;;;
3_S5_S6_S7;05/05/2023;10:30:57;-1063;-125;-188;;;;;
3_S5_S6_S7;05/05/2023;10:30:57;-1000;-125;-125;7170;945;8310;;
3_S5_S6_S7;05/05/2023;10:30:58;-1000;-125;-250;;;;;
3_S5_S6_S7;05/05/2023;10:30:58;-938;-125;-500;;;;;
3_S5_S6_S7;05/05/2023;10:30:58;-813;-63;-563;;;;;
3_S5_S6_S7;05/05/2023;10:30:58;-750;-125;-688;;;;;
3_S5_S6_S7;05/05/2023;10:30:58;-625;-125;-750;5430;450;10680;;
3_S5_S6_S7;05/05/2023;10:30:58;-563;-125;-875;;;;;
3_S5_S6_S7;05/05/2023;10:30:58;-375;188;-1188;;;;;
3_S5_S6_S7;05/05/2023;10:30:58;-250;-63;-938;;;;;
3_S5_S6_S7;05/05/2023;10:30:58;-125;-63;-1000;;;;;
3_S5_S6_S7;05/05/2023;10:30:58;-63;63;-1000;2820;60;10980;;
3_S5_S6_S7;05/05/2023;10:30:59;0;63;-938;;;;;
3_S5_S6_S7;05/05/2023;10:30:59;0;63;-1000;;;;;
3_S5_S6_S7;05/05/2023;10:30:59;188;-63;-938;;;;;
3_S5_S6_S7;05/05/2023;10:30:59;313;-63;-875;;;;;
3_S5_S6_S7;05/05/2023;10:30:59;563;63;-813;555;435;10500;;
3_S5_S6_S7;05/05/2023;10:30:59;731;63;-700;;;;;
3_S5_S6_S7;05/05/2023;10:30:59;850;-38;-638;;;;;
3_S5_S6_S7;05/05/2023;10:30:59;875;-63;-581;;;;;
3_S5_S6_S7;05/05/2023;10:30:59;875;-63;-488;;;;;
3_S5_S6_S7;05/05/2023;10:30:59;875;-63;-438;-1575;690;8475;;
3_S5_S6_S7;05/05/2023;10:31:00;900;-88;-388;;;;;
3_S5_S6_S7;05/05/2023;10:31:00;938;-106;-313;;;;;
3_S5_S6_S7;05/05/2023;10:31:00;938;-63;-300;;;;;
3_S5_S6_S7;05/05/2023;10:31:00;938;-63;-250;;;;;
3_S5_S6_S7;05/05/2023;10:31:00;1000;-63;-250;-1680;615;7200;;
3_S5_S6_S7;05/05/2023;10:31:00;875;63;-188;;;;;
3_S5_S6_S7;05/05/2023;10:31:00;1000;-63;-125;;;;;
3_S5_S6_S7;05/05/2023;10:31:00;1000;-63;63;;;;;
3_S5_S6_S7;05/05/2023;10:31:00;1000;0;63;;;;;
3_S5_S6_S7;05/05/2023;10:31:00;1000;-63;188;-1545;570;5280;;
3_S5_S6_S7;05/05/2023;10:31:01;938;0;313;;;;;
3_S5_S6_S7;05/05/2023;10:31:01;875;-125;313;;;;;
3_S5_S6_S7;05/05/2023;10:31:01;750;0;500;;;;;
3_S5_S6_S7;05/05/2023;10:31:01;688;-125;625;;;;;
3_S5_S6_S7;05/05/2023;10:31:01;563;-63;750;420;525;3210;;
3_S5_S6_S7;05/05/2023;10:31:01;438;-63;875;;;;;
3_S5_S6_S7;05/05/2023;10:31:01;313;63;875;;;;;
3_S5_S6_S7;05/05/2023;10:31:01;188;63;938;;;;;
3_S5_S6_S7;05/05/2023;10:31:01;63;125;1000;;;;;
3_S5_S6_S7;05/05/2023;10:31:01;0;125;938;2640;-390;2925;;
3_S5_S6_S7;05/05/2023;10:31:02;-125;63;1000;;;;;
3_S5_S6_S7;05/05/2023;10:31:02;-375;63;938;;;;;
3_S5_S6_S7;05/05/2023;10:31:02;-500;63;875;;;;;
3_S5_S6_S7;05/05/2023;10:31:02;-688;0;813;;;;;
3_S5_S6_S7;05/05/2023;10:31:02;-938;-125;563;6225;525;3765;19;
3_S5_S6_S7;05/05/2023;10:31:02;-875;-125;500;;;;;
3_S5_S6_S7;05/05/2023;10:31:02;-938;-125;438;;;;;
3_S5_S6_S7;05/05/2023;10:31:02;-1000;-125;375;;;;;
3_S5_S6_S7;05/05/2023;10:31:02;-1000;-125;250;;;;;
3_S5_S6_S7;05/05/2023;10:31:03;-938;-188;63;7440;675;6300;;
3_S5_S6_S7;05/05/2023;10:31:03;-1000;-125;125;;;;;
3_S5_S6_S7;05/05/2023;10:31:03;-1063;-125;125;;;;;
3_S5_S6_S7;05/05/2023;10:31:03;-1063;-125;125;;;;;
3_S5_S6_S7;05/05/2023;10:31:03;-1063;-125;125;;;;;
3_S5_S6_S7;05/05/2023;10:31:03;-938;-125;-63;7470;750;7215;;
3_S5_S6_S7;05/05/2023;10:31:03;-994;-69;-175;;;;;
3_S5_S6_S7;05/05/2023;10:31:03;-1000;-13;-288;;;;;
3_S5_S6_S7;05/05/2023;10:31:03;-913;44;-444;;;;;
3_S5_S6_S7;05/05/2023;10:31:03;-875;63;-575;;;;;
3_S5_S6_S7;05/05/2023;10:31:03;-813;94;-656;6135;-120;9615;;
3_S5_S6_S7;05/05/2023;10:31:04;-725;150;-713;;;;;
3_S5_S6_S7;05/05/2023;10:31:04;-631;150;-807;;;;;
3_S5_S6_S7;05/05/2023;10:31:04;-438;75;-950;;;;;
3_S5_S6_S7;05/05/2023;10:31:04;-188;125;-1000;;;;;
3_S5_S6_S7;05/05/2023;10:31:04;63;63;-1000;2520;-210;10890;;
3_S5_S6_S7;05/05/2023;10:31:04;188;63;-938;;;;;
3_S5_S6_S7;05/05/2023;10:31:04;313;63;-875;;;;;
3_S5_S6_S7;05/05/2023;10:31:04;688;188;-938;;;;;
3_S5_S6_S7;05/05/2023;10:31:04;625;63;-813;;;;;
3_S5_S6_S7;05/05/2023;10:31:05;625;-63;-688;-720;285;9480;;
3_S5_S6_S7;05/05/2023;10:31:05;813;0;-563;;;;;
3_S5_S6_S7;05/05/2023;10:31:05;813;-63;-438;;;;;
3_S5_S6_S7;05/05/2023;10:31:05;938;-63;-438;;;;;
3_S5_S6_S7;05/05/2023;10:31:05;875;-125;-250;;;;;
3_S5_S6_S7;05/05/2023;10:31:05;938;-63;-250;-1635;525;7410;;
3_S5_S6_S7;05/05/2023;10:31:05;875;0;63;;;;;
3_S5_S6_S7;05/05/2023;10:31:05;1000;-63;0;;;;;
3_S5_S6_S7;05/05/2023;10:31:05;1000;0;63;;;;;
3_S5_S6_S7;05/05/2023;10:31:05;1000;-63;188;;;;;
3_S5_S6_S7;05/05/2023;10:31:06;938;63;313;-1365;195;5145;;
3_S5_S6_S7;05/05/2023;10:31:06;813;63;500;;;;;
3_S5_S6_S7;05/05/2023;10:31:06;813;0;563;;;;;
