TagID;Date;Time;accX;accY;accZ;magX;magY;magZ;Temp. (?C);Metadata
3_S5_S6;05/05/2023;10:23:06;688;-688;0;-6420;4770;-9495;18;
3_S5_S6;05/05/2023;10:23:06;688;-688;-56;;;;;
3_S5_S6;05/05/2023;10:23:06;638;-788;-13;;;;;
3_S5_S6;05/05/2023;10:23:06;581;-769;44;;;;;
3_S5_S6;05/05/2023;10:23:06;525;-788;63;;;;;
3_S5_S6;05/05/2023;10:23:06;500;-813;63;-5550;5340;-9510;;
3_S5_S6;05/05/2023;10:23:07;450;-838;63;;;;;
3_S5_S6;05/05/2023;10:23:07;375;-875;63;;;;;
3_S5_S6;05/05/2023;10:23:07;363;-888;63;;;;;
3_S5_S6;05/05/2023;10:23:07;313;-938;63;;;;;
3_S5_S6;05/05/2023;10:23:07;250;-938;63;-4290;5730;-9600;;
3_S5_S6;05/05/2023;10:23:07;188;-938;0;;;;;
3_S5_S6;05/05/2023;10:23:07;188;-938;0;;;;;
3_S5_S6;05/05/2023;10:23:07;125;-938;0;;;;;
3_S5_S6;05/05/2023;10:23:07;63;-1000;-63;;;;;
3_S5_S6;05/05/2023;10:23:07;0;-1000;-125;-2730;5745;-9435;;
3_S5_S6;05/05/2023;10:23:08;-63;-1000;0;;;;;
3_S5_S6;05/05/2023;10:23:08;-188;-1000;-63;;;;;
3_S5_S6;05/05/2023;10:23:08;-250;-938;-125;;;;;
3_S5_S6;05/05/2023;10:23:08;-375;-938;-125;;;;;
3_S5_S6;05/05/2023;10:23:08;-500;-875;-125;-1005;5445;-8970;;
3_S5_S6;05/05/2023;10:23:08;-625;-813;-125;;;;;
3_S5_S6;05/05/2023;10:23:08;-688;-688;-188;;;;;
3_S5_S6;05/05/2023;10:23:08;-813;-625;-188;;;;;
3_S5_S6;05/05/2023;10:23:08;-938;-625;-125;;;;;
3_S5_S6;05/05/2023;10:23:08;-938;-500;-188;780;3615;-8925;;
3_S5_S6;05/05/2023;10:23:09;-938;-375;-125;;;;;
3_S5_S6;05/05/2023;10:23:09;-938;-438;-125;;;;;
3_S5_S6;05/05/2023;10:23:09;-938;-375;-125;;;;;
3_S5_S6;05/05/2023;10:23:09;-1000;-375;-125;;;;;
3_S5_S6;05/05/2023;10:23:09;-1000;-313;-125;1500;2310;-9255;;
3_S5_S6;05/05/2023;10:23:09;-1000;-313;-125;;;;;
3_S5_S6;05/05/2023;10:23:09;-1000;-188;-125;;;;;
3_S5_S6;05/05/2023;10:23:09;-1000;-125;-125;;;;;
3_S5_S6;05/05/2023;10:23:09;-1063;-63;-63;;;;;
3_S5_S6;05/05/2023;10:23:09;-1063;-63;-125;1530;1095;-9360;;
3_S5_S6;05/05/2023;10:23:10;-1063;63;-125;;;;;
3_S5_S6;05/05/2023;10:23:10;-1000;63;-63;;;;;
3_S5_S6;05/05/2023;10:23:10;-1000;125;-63;;;;;
3_S5_S6;05/05/2023;10:23:10;-1000;188;-125;;;;;
3_S5_S6;05/05/2023;10:23:10;-1000;188;0;1050;-135;-9870;;
3_S5_S6;05/05/2023;10:23:10;-1000;244;0;;;;;
3_S5_S6;05/05/2023;10:23:10;-950;300;0;;;;;
3_S5_S6;05/05/2023;10:23:10;-938;400;44;;;;;
3_S5_S6;05/05/2023;10:23:10;-938;475;25;;;;;
3_S5_S6;05/05/2023;10:23:10;-907;531;31;270;-1500;-9930;;
3_S5_S6;05/05/2023;10:23:11;-850;588;63;;;;;
3_S5_S6;05/05/2023;10:23:11;-794;644;63;;;;;
3_S5_S6;05/05/2023;10:23:11;-738;688;63;;;;;
3_S5_S6;05/05/2023;10:23:11;-688;688;63;;;;;
3_S5_S6;05/05/2023;10:23:11;-688;813;63;-1050;-2430;-10230;18;
3_S5_S6;05/05/2023;10:23:11;-625;813;63;;;;;
3_S5_S6;05/05/2023;10:23:11;-563;813;63;;;;;
3_S5_S6;05/05/2023;10:23:11;-563;813;125;;;;;
3_S5_S6;05/05/2023;10:23:11;-500;875;63;;;;;
3_S5_S6;05/05/2023;10:23:12;-500;875;63;-1845;-2865;-10065;;
3_S5_S6;05/05/2023;10:23:12;-438;938;63;;;;;
3_S5_S6;05/05/2023;10:23:12;-375;938;-63;;;;;
3_S5_S6;05/05/2023;10:23:12;-250;938;-63;;;;;
3_S5_S6;05/05/2023;10:23:12;-188;1000;-63;;;;;
3_S5_S6;05/05/2023;10:23:12;-188;938;0;-3225;-3060;-9855;;
3_S5_S6;05/05/2023;10:23:12;-63;1000;-63;;;;;
3_S5_S6;05/05/2023;10:23:12;0;1000;-63;;;;;
3_S5_S6;05/05/2023;10:23:12;125;938;-125;;;;;
3_S5_S6;05/05/2023;10:23:12;188;875;-125;;;;;
3_S5_S6;05/05/2023;10:23:13;313;875;-188;-5550;-2745;-9270;;
3_S5_S6;05/05/2023;10:23:13;375;875;-125;;;;;
3_S5_S6;05/05/2023;10:23:13;500;813;-188;;;;;
3_S5_S6;05/05/2023;10:23:13;625;813;-125;;;;;
3_S5_S6;05/05/2023;10:23:13;750;688;-125;;;;;
3_S5_S6;05/05/2023;10:23:13;750;563;-125;-7545;-840;-9105;;
3_S5_S6;05/05/2023;10:23:13;813;563;-188;;;;;
3_S5_S6;05/05/2023;10:23:13;813;500;-188;;;;;
3_S5_S6;05/05/2023;10:23:13;875;375;-188;;;;;
3_S5_S6;05/05/2023;10:23:13;813;375;-125;;;;;
3_S5_S6;05/05/2023;10:23:13;875;438;-125;-8010;255;-8790;;
3_S5_S6;05/05/2023;10:23:14;875;313;-188;;;;;
3_S5_S6;05/05/2023;10:23:14;938;375;-125;;;;;
3_S5_S6;05/05/2023;10:23:14;1000;313;-125;;;;;
3_S5_S6;05/05/2023;10:23:14;1000;313;-125;;;;;
3_S5_S6;05/05/2023;10:23:14;938;188;-125;-7935;855;-9210;;
3_S5_S6;05/05/2023;10:23:14;994;131;-125;;;;;
3_S5_S6;05/05/2023;10:23:14;950;75;-125;;;;;
3_S5_S6;05/05/2023;10:23:14;982;-25;-125;;;;;
3_S5_S6;05/05/2023;10:23:14;963;-100;-125;;;;;
3_S5_S6;05/05/2023;10:23:14;1000;-125;-125;-7995;2490;-9225;;
3_S5_S6;05/05/2023;10:23:15;1013;-150;-125;;;;;
3_S5_S6;05/05/2023;10:23:15;957;-225;-125;;;;;
3_S5_S6;05/05/2023;10:23:15;988;-313;-125;;;;;
3_S5_S6;05/05/2023;10:23:15;938;-313;-125;;;;;
3_S5_S6;05/05/2023;10:23:15;875;-438;-125;-7305;3750;-9180;;
3_S5_S6;05/05/2023;10:23:15;813;-438;-125;;;;;
3_S5_S6;05/05/2023;10:23:15;813;-500;-125;;;;;
3_S5_S6;05/05/2023;10:23:15;750;-563;0;;;;;
3_S5_S6;05/05/2023;10:23:15;813;-625;0;;;;;
3_S5_S6;05/05/2023;10:23:16;688;-688;0;-6420;4905;-9420;;
3_S5_S6;05/05/2023;10:23:16;625;-750;0;;;;;
3_S5_S6;05/05/2023;10:23:16;563;-813;63;;;;;
3_S5_S6;05/05/2023;10:23:16;500;-875;0;;;;;
3_S5_S6;05/05/2023;10:23:16;500;-875;63;;;;;
3_S5_S6;05/05/2023;10:23:16;438;-938;63;-5205;5505;-9750;18;
