TagID,Date,Time,accX,accY,accZ,magX,magY,magZ,Temp. (?C),Metadata
3_S8,09/05/2023,10:20:27.000,-0.063,-0.063,0.938,-409.5,-415.5,-1470.0,21,
3_S8,09/05/2023,10:20:27.100,-0.063,-0.119,0.994,,,,,
3_S8,09/05/2023,10:20:27.200,-0.013,-0.025,0.950,,,,,
3_S8,09/05/2023,10:20:27.300,-0.044,-0.044,0.982,,,,,
3_S8,09/05/2023,10:20:27.400,-0.025,-0.063,1.000,,,,,
3_S8,09/05/2023,10:20:27.500,0.000,-0.063,1.000,-396.0,-409.5,-1465.5,,
3_S8,09/05/2023,10:20:27.600,-0.025,-0.063,1.000,,,,,
3_S8,09/05/2023,10:20:27.700,-0.063,-0.063,0.982,,,,,
3_S8,09/05/2023,10:20:27.800,-0.063,-0.063,0.938,,,,,
3_S8,09/05/2023,10:20:27.900,-0.063,-0.063,0.938,,,,,
3_S8,09/05/2023,10:20:28.000,-0.063,-0.063,0.938,-409.5,-405.0,-1455.0,,
3_S8,09/05/2023,10:20:28.100,-0.063,-0.063,1.000,,,,,
3_S8,09/05/2023,10:20:28.200,-0.063,-0.063,0.938,,,,,
3_S8,09/05/2023,10:20:28.300,0.000,-0.063,0.938,,,,,
3_S8,09/05/2023,10:20:28.400,0.000,-0.063,0.938,,,,,
3_S8,09/05/2023,10:20:28.500,-0.063,-0.125,0.938,-396.0,-409.5,-1447.5,,
3_S8,09/05/2023,10:20:28.600,-0.063,-0.063,0.938,,,,,
3_S8,09/05/2023,10:20:28.700,-0.063,-0.063,0.938,,,,,
3_S8,09/05/2023,10:20:28.800,-0.063,-0.063,0.938,,,,,
3_S8,09/05/2023,10:20:28.900,-0.063,-0.063,1.000,,,,,
3_S8,09/05/2023,10:20:29.000,-0.063,-0.063,0.938,-385.5,-415.5,-1455.0,,
3_S8,09/05/2023,10:20:29.100,0.000,-0.063,0.938,,,,,
3_S8,09/05/2023,10:20:29.200,-0.063,-0.063,0.938,,,,,
3_S8,09/05/2023,10:20:29.300,0.000,-0.125,1.000,,,,,
3_S8,09/05/2023,10:20:29.400,0.000,-0.063,0.938,,,,,
