TagID,Date,Time,accX,accY,accZ,magX,magY,magZ,Temp. (?C),Metadata
2_S2,09/05/2023,09:51:23.000,0.000,-0.063,1.000,423.0,882.0,-154.5,25,
2_S2,09/05/2023,09:51:23.100,0.000,-0.063,0.944,,,,,
2_S2,09/05/2023,09:51:23.200,0.000,-0.063,0.988,,,,,
2_S2,09/05/2023,09:51:23.300,0.000,-0.063,1.044,,,,,
2_S2,09/05/2023,09:51:23.400,0.000,-0.063,1.025,,,,,
2_S2,09/05/2023,09:51:23.500,-0.031,-0.063,1.000,441.0,886.5,-156.0,,
2_S2,09/05/2023,09:51:23.600,-0.038,-0.063,1.000,,,,,
2_S2,09/05/2023,09:51:23.700,-0.019,-0.063,1.000,,,,,
2_S2,09/05/2023,09:51:23.800,-0.063,-0.075,1.000,,,,,
2_S2,09/05/2023,09:51:23.900,-0.063,-0.125,1.000,,,,,
2_S2,09/05/2023,09:51:24.000,0.000,-0.063,1.000,418.5,874.5,-157.5,,
2_S2,09/05/2023,09:51:24.100,-0.063,-0.063,1.000,,,,,
2_S2,09/05/2023,09:51:24.200,0.000,-0.063,1.000,,,,,
2_S2,09/05/2023,09:51:24.300,0.000,-0.063,1.000,,,,,
2_S2,09/05/2023,09:51:24.400,0.000,-0.063,1.000,,,,,
2_S2,09/05/2023,09:51:24.500,0.000,-0.063,1.000,418.5,877.5,-154.5,,
2_S2,09/05/2023,09:51:24.600,-0.063,-0.063,1.000,,,,,
2_S2,09/05/2023,09:51:24.700,0.000,-0.063,1.000,,,,,
2_S2,09/05/2023,09:51:24.800,0.000,-0.063,1.000,,,,,
2_S2,09/05/2023,09:51:24.900,0.000,-0.063,1.000,,,,,
2_S2,09/05/2023,09:51:25.000,0.000,-0.063,1.000,433.5,888.0,-145.5,,
2_S2,09/05/2023,09:51:25.100,0.000,-0.063,1.000,,,,,
2_S2,09/05/2023,09:51:25.200,0.000,-0.063,0.938,,,,,
2_S2,09/05/2023,09:51:25.300,0.000,-0.063,1.000,,,,,
2_S2,09/05/2023,09:51:25.400,0.000,-0.063,1.000,,,,,
2_S2,09/05/2023,09:51:25.500,0.000,-0.125,1.000,435.0,867.0,-156.0,,
2_S2,09/05/2023,09:51:25.600,0.000,-0.063,1.000,,,,,
2_S2,09/05/2023,09:51:25.700,0.000,-0.063,1.000,,,,,
2_S2,09/05/2023,09:51:25.800,0.000,-0.125,1.000,,,,,
2_S2,09/05/2023,09:51:25.900,0.000,-0.063,1.000,,,,,
2_S2,09/05/2023,09:51:26.000,0.000,-0.063,1.000,427.5,897.0,-162.0,,
2_S2,09/05/2023,09:51:26.100,0.000,-0.063,1.000,,,,,
2_S2,09/05/2023,09:51:26.200,0.000,-0.125,1.000,,,,,
2_S2,09/05/2023,09:51:26.300,-0.063,-0.063,1.000,,,,,
2_S2,09/05/2023,09:51:26.400,0.000,-0.063,1.000,,,,,
2_S2,09/05/2023,09:51:26.500,-0.063,-0.125,1.000,421.5,879.0,-132.0,,
2_S2,09/05/2023,09:51:26.600,0.000,0.000,0.938,,,,,
2_S2,09/05/2023,09:51:26.700,-0.063,-0.063,1.000,,,,,
2_S2,09/05/2023,09:51:26.800,0.000,-0.063,1.000,,,,,
2_S2,09/05/2023,09:51:26.900,-0.063,-0.063,0.938,,,,,
2_S2,09/05/2023,09:51:27.000,0.000,-0.063,0.938,436.5,880.5,-148.5,,
2_S2,09/05/2023,09:51:27.100,0.000,-0.063,1.000,,,,,
2_S2,09/05/2023,09:51:27.200,0.000,-0.063,1.000,,,,,
2_S2,09/05/2023,09:51:27.300,0.000,-0.063,1.000,,,,,
2_S2,09/05/2023,09:51:27.400,0.000,-0.063,1.000,,,,,
2_S2,09/05/2023,09:51:27.500,-0.063,-0.063,1.000,427.5,888.0,-162.0,,
2_S2,09/05/2023,09:51:27.600,0.000,-0.063,1.000,,,,,
2_S2,09/05/2023,09:51:27.700,-0.063,-0.063,1.000,,,,,
2_S2,09/05/2023,09:51:27.800,0.000,-0.063,0.938,,,,,
2_S2,09/05/2023,09:51:27.900,0.000,-0.063,1.000,,,,,
2_S2,09/05/2023,09:51:28.000,0.000,-0.063,1.000,444.0,895.5,-148.5,,
2_S2,09/05/2023,09:51:28.100,0.000,-0.063,1.000,,,,,
2_S2,09/05/2023,09:51:28.200,0.000,-0.063,0.950,,,,,
2_S2,09/05/2023,09:51:28.300,-0.044,-0.063,0.982,,,,,
2_S2,09/05/2023,09:51:28.400,-0.063,-0.063,0.963,,,,,
2_S2,09/05/2023,09:51:28.500,-0.031,-0.063,1.000,427.5,891.0,-147.0,,
2_S2,09/05/2023,09:51:28.600,0.000,-0.063,1.038,,,,,
2_S2,09/05/2023,09:51:28.700,-0.019,-0.063,0.982,,,,,
2_S2,09/05/2023,09:51:28.800,-0.050,-0.063,0.950,,,,,
2_S2,09/05/2023,09:51:28.900,0.000,-0.063,1.000,,,,,
2_S2,09/05/2023,09:51:29.000,0.000,-0.063,1.000,430.5,879.0,-145.5,,
2_S2,09/05/2023,09:51:29.100,0.000,-0.063,1.000,,,,,
2_S2,09/05/2023,09:51:29.200,0.000,-0.063,1.000,,,,,
