TagID,Date,Time,accX,accY,accZ,gyroX,gyroY,gyroZ,compX,compY,compZ,Activity,Depth,Temp. (?C),Metadata
No Name_S4,04/05/2023,16:19:26.000,0.0125,-0.9565,-0.0002,-0.2747,0.3281,-0.6714,40.1372,32.2557,-39.5534,Active,0,-348.88,
No Name_S4,04/05/2023,16:19:26.100,0.0136,-0.9905,-0.0023,0.1602,0.0763,-1.5945,39.5534,32.2557,-40.4291,,,,
No Name_S4,04/05/2023,16:19:26.200,0.0215,-1.0001,-0.0056,0.3662,-0.0916,-1.9073,40.4291,33.1315,-41.0130,,,,
No Name_S4,04/05/2023,16:19:26.300,-0.0005,-0.9893,0.0092,0.2594,0.0687,-1.1368,38.5318,31.8179,-40.5751,,,,
No Name_S4,04/05/2023,16:19:26.400,0.0161,-0.9998,0.0004,0.4425,1.2589,-1.5259,39.4075,31.9638,-40.5751,,,,
No Name_S4,04/05/2023,16:19:26.500,0.0327,-1.0102,-0.0084,0.6332,2.4567,-1.9150,40.2832,32.1098,-40.5751,,,,
No Name_S4,04/05/2023,16:19:26.600,0.0170,-1.0016,-0.0034,-0.3738,0.4501,-0.6714,40.2832,32.1098,-40.5751,,,,
No Name_S4,04/05/2023,16:19:26.700,0.0134,-0.9860,-0.0198,-0.8545,0.3662,-0.5341,39.5534,31.3800,-41.3049,,,,
No Name_S4,04/05/2023,16:19:26.800,0.0194,-0.9961,-0.0072,0.3891,-0.2747,-1.6403,39.6994,32.9855,-40.8670,,,,
No Name_S4,04/05/2023,16:19:26.900,0.0114,-0.9926,-0.0015,1.2970,0.1678,-0.5341,39.4075,32.6936,-41.4508,,,,
No Name_S4,04/05/2023,16:19:27.000,0.0133,-0.9829,-0.0208,1.2436,1.2054,-1.0300,39.1156,31.8179,-40.5751,Inactive,0.180474118102064,23.08,
No Name_S4,04/05/2023,16:19:27.100,0.0159,-0.9929,-0.0043,1.8997,-0.3128,-2.6550,39.1156,31.8179,-40.5751,,,,
No Name_S4,04/05/2023,16:19:27.200,0.0239,-1.0072,0.0140,1.0529,-0.3738,-2.5253,40.7211,33.1315,-40.4291,,,,
No Name_S4,04/05/2023,16:19:27.300,0.0242,-0.9951,-0.0051,0.1984,1.1597,-0.4425,39.4075,31.2341,-39.9913,,,,
No Name_S4,04/05/2023,16:19:27.400,0.0106,-0.9800,-0.0096,-0.1373,0.6866,-0.0839,40.2832,32.6936,-39.6994,,,,
No Name_S4,04/05/2023,16:19:27.500,0.0170,-1.0073,0.0160,-0.2060,-0.5951,-1.6632,39.8453,32.5477,-40.7211,,,,
No Name_S4,04/05/2023,16:19:27.600,0.0167,-0.9888,-0.0109,-0.6638,1.3123,-0.6866,40.7211,32.5477,-40.7211,,,,
No Name_S4,04/05/2023,16:19:27.700,0.0279,-0.9973,-0.0106,-0.3815,-0.1678,-2.0218,40.7211,32.5477,-40.7211,,,,
No Name_S4,04/05/2023,16:19:27.800,0.0154,-0.9937,0.0024,-0.1526,-0.6943,-0.8240,40.1372,31.3800,-39.8453,,,,
No Name_S4,04/05/2023,16:19:27.900,0.0264,-0.9949,-0.0215,-1.0986,0.7019,-0.3510,40.7211,31.6719,-39.8453,,,,
No Name_S4,04/05/2023,16:19:28.000,0.0151,-0.9969,-0.0112,-2.4719,-0.6332,-0.0839,39.8453,33.4234,-41.3049,Inactive,0.15827074784076,23.07,
No Name_S4,04/05/2023,16:19:28.100,0.0133,-0.9985,-0.0156,-2.3956,-1.3428,-0.9613,40.1372,32.2557,-41.3049,,,,
No Name_S4,04/05/2023,16:19:28.200,0.0162,-0.9966,-0.0093,-3.4637,-0.8011,-1.3046,40.1372,32.2557,-41.3049,,,,
No Name_S4,04/05/2023,16:19:28.300,0.0175,-0.9683,-0.0568,-4.7836,-0.5188,-1.9455,39.1156,31.8179,-41.7427,,,,
No Name_S4,04/05/2023,16:19:28.400,0.0399,-1.0211,-0.0662,-2.9831,-3.7079,-3.2883,40.7211,32.2557,-41.8887,,,,
No Name_S4,04/05/2023,16:19:28.500,0.0033,-0.9788,-0.0363,0.9155,-5.3101,1.5869,39.8453,32.8396,-41.3049,,,,
No Name_S4,04/05/2023,16:19:28.600,-0.0173,-0.9854,-0.0067,2.8839,-1.1444,-0.7858,39.2615,33.7153,-41.8887,,,,
No Name_S4,04/05/2023,16:19:28.700,0.0139,-1.0117,-0.0195,1.8463,3.8910,-2.8458,39.2615,33.7153,-41.8887,,,,
No Name_S4,04/05/2023,16:19:28.800,0.0109,-0.9891,-0.0291,0.3128,5.5695,-1.1292,38.6777,33.1315,-42.1806,,,,
No Name_S4,04/05/2023,16:19:28.900,0.0021,-0.9784,-0.0306,1.6708,5.9357,-1.9455,39.4075,32.1098,-40.8670,,,,
No Name_S4,04/05/2023,16:19:29.000,0.0389,-0.9869,-0.0350,3.4637,6.9504,-6.1035,40.2832,31.5260,-40.8670,Inactive,0.113546037165621,23.1,
No Name_S4,04/05/2023,16:19:29.100,0.0510,-1.0064,-0.0175,2.6627,3.1967,-8.1253,39.9913,31.2341,-41.4508,,,,
No Name_S4,04/05/2023,16:19:29.200,0.0568,-1.0053,-0.0262,1.0223,2.6855,-3.6774,40.8670,31.8179,-41.1589,,,,
No Name_S4,04/05/2023,16:19:29.300,0.0492,-0.9974,-0.0176,1.6785,1.3428,-0.0839,40.8670,31.8179,-41.1589,,,,
No Name_S4,04/05/2023,16:19:29.400,0.0330,-0.9888,-0.0244,1.7929,0.5417,-0.4196,40.4291,30.7962,-40.1372,,,,
No Name_S4,04/05/2023,16:19:29.500,0.0108,-0.9860,0.0150,3.1662,0.1450,-1.2589,40.7211,31.3800,-40.7211,,,,
No Name_S4,04/05/2023,16:19:29.600,0.0403,-0.9714,-0.0013,0.8698,4.1351,-3.7003,39.6994,31.2341,-41.1589,,,,
No Name_S4,04/05/2023,16:19:29.700,0.1118,-1.0250,-0.0673,-8.1177,4.6387,-7.8354,40.2832,30.3583,-40.2832,,,,
No Name_S4,04/05/2023,16:19:29.800,0.1090,-0.9809,-0.0752,-4.6539,-8.6670,0.9079,40.2832,30.3583,-40.2832,,,,
No Name_S4,04/05/2023,16:19:29.900,0.0677,-1.0206,-0.0165,-3.3340,-21.1182,-0.8774,39.5534,30.7962,-40.7211,,,,
No Name_S4,04/05/2023,16:19:30.000,0.0163,-0.9907,-0.0349,-3.5706,-19.8975,3.9902,39.6994,32.1098,-41.1589,Inactive,0.1116510938094,23.09,
No Name_S4,04/05/2023,16:19:30.100,-0.0005,-0.9779,-0.0328,-1.6861,-13.3362,3.6316,39.8453,34.2991,-41.3049,,,,
No Name_S4,04/05/2023,16:19:30.200,0.0356,-1.0262,-0.0279,1.5793,-6.8741,1.7548,39.6994,33.5693,-41.4508,,,,
No Name_S4,04/05/2023,16:19:30.300,-0.0154,-0.9822,-0.0389,-1.2360,-2.7008,6.1874,39.9913,34.4450,-40.8670,,,,
No Name_S4,04/05/2023,16:19:30.400,0.0024,-0.9742,-0.0884,0.6409,2.8076,4.8752,39.9913,34.4450,-40.8670,,,,
No Name_S4,04/05/2023,16:19:30.500,0.0368,-1.0083,-0.0652,1.9302,-1.5564,0.4196,39.2615,34.8829,-39.5534,,,,
No Name_S4,04/05/2023,16:19:30.600,-0.0192,-0.9741,-0.0623,0.6561,-5.9433,3.3951,39.6994,37.3641,-39.9913,,,,
No Name_S4,04/05/2023,16:19:30.700,-0.0403,-0.9910,-0.0326,4.8523,-4.0207,2.3880,49.7702,42.4725,-38.0939,,,,
No Name_S4,04/05/2023,16:19:30.800,-0.0367,-0.9843,-0.0210,5.2643,0.8087,-0.6485,53.8569,40.4291,-45.6835,,,,
No Name_S4,04/05/2023,16:19:30.900,-0.0091,-1.0007,-0.0228,2.9526,-0.0458,-5.3406,50.0621,37.2182,-52.9812,,,,
No Name_S4,04/05/2023,16:19:31.000,-0.0051,-1.0070,-0.0097,4.7989,1.6251,-5.3177,50.0621,37.2182,-52.9812,Inactive,0.169095550704771,23.13,
No Name_S4,04/05/2023,16:19:31.100,0.0104,-0.9903,-0.0146,6.6833,5.2567,-3.1509,40.7211,38.3858,-57.9436,,,,
No Name_S4,04/05/2023,16:19:31.200,0.0156,-1.0143,0.0078,2.2125,0.1526,-3.5400,21.7471,32.8396,-38.0939,,,,
No Name_S4,04/05/2023,16:19:31.300,0.0070,-0.9879,-0.0222,-0.0076,-0.3662,-1.7395,28.7529,30.7962,-23.4985,,,,
No Name_S4,04/05/2023,16:19:31.400,0.0092,-0.9939,-0.0029,0.0153,-3.0289,-3.5400,30.2124,31.3800,-21.7471,,,,
No Name_S4,04/05/2023,16:19:31.500,0.0173,-1.0121,-0.0020,-3.9673,-2.1591,-3.9902,30.2124,31.3800,-21.7471,,,,
No Name_S4,04/05/2023,16:19:31.600,0.0183,-0.9860,-0.0384,-5.8899,-0.3891,-1.7395,30.7962,32.2557,-17.3685,,,,
No Name_S4,04/05/2023,16:19:31.700,0.0109,-0.9863,-0.0286,-1.9150,-0.0763,-1.0452,30.0664,32.9855,-15.1792,,,,
No Name_S4,04/05/2023,16:19:31.800,0.0223,-1.0018,-0.0314,0.0000,0.8316,-1.4038,29.7745,34.4450,-9.3410,,,,
No Name_S4,04/05/2023,16:19:31.900,0.0131,-0.9860,-0.0386,0.5341,0.4196,-0.5951,29.0448,35.4667,-4.8165,,,,
No Name_S4,04/05/2023,16:19:32.000,0.0062,-0.9863,-0.0296,-0.6561,-0.0153,-2.3804,27.7312,36.7803,1.1676,Inactive,0.164355949953458,23.09,
No Name_S4,04/05/2023,16:19:32.100,0.0179,-0.9984,-0.0222,1.4343,2.0142,-2.8992,27.7312,36.7803,1.1676,,,,
No Name_S4,04/05/2023,16:19:32.200,0.0247,-0.9967,-0.0284,0.8163,3.7155,-2.5864,20.1416,42.0346,24.8121,,,,
No Name_S4,04/05/2023,16:19:32.300,0.0169,-0.9821,-0.0331,0.1602,3.3569,-2.2888,21.3092,44.6618,84.9450,,,,
No Name_S4,04/05/2023,16:19:32.400,0.0246,-0.9919,-0.0180,0.7477,4.8599,-3.5172,28.1690,44.5158,307.5242,,,,
No Name_S4,04/05/2023,16:19:32.500,0.0383,-0.9899,-0.0374,1.0300,6.8817,-3.2501,200.1024,-166.5331,1574.1096,,,,
No Name_S4,04/05/2023,16:19:32.600,0.0636,-1.0061,-0.0422,0.4501,6.2103,-3.3417,200.1024,-166.5331,1574.1096,,,,
No Name_S4,04/05/2023,16:19:32.700,0.0409,-0.9906,-0.0377,-0.1907,2.2659,-1.1597,769.3214,-1640.9563,3141.0674,,,,TIMEMARK!
No Name_S4,04/05/2023,16:19:32.800,0.0370,-0.9900,-0.0240,0.4349,0.5188,-1.8539,-358.1701,-4423.8536,358.1701,,,,
No Name_S4,04/05/2023,16:19:32.900,0.0480,-0.9977,-0.0259,0.3433,0.6409,-2.0828,678.6842,-4103.3395,678.6842,,,,
No Name_S4,04/05/2023,16:19:33.000,0.0405,-0.9764,-0.0468,-0.1144,0.5951,-0.8087,852.2231,-3929.8007,852.2231,Inactive,0.151991977334896,23.13,
No Name_S4,04/05/2023,16:19:33.100,0.0550,-0.9957,-0.0366,0.6180,-1.0529,-2.7008,2082.7579,-2699.2659,2082.7579,,,,
No Name_S4,04/05/2023,16:19:33.200,0.0256,-0.9909,-0.0133,-0.1602,-1.5869,-1.1978,2082.7579,-2699.2659,2082.7579,,,,
No Name_S4,04/05/2023,16:19:33.300,0.0508,-0.9957,-0.0275,0.7095,1.7242,-1.7166,1152.1577,-1152.1577,3629.8660,,,,
No Name_S4,04/05/2023,16:19:33.400,0.0532,-0.9888,-0.0378,-0.3586,1.5945,-1.4801,2277.7519,-2504.2719,2277.7519,,,,
No Name_S4,04/05/2023,16:19:33.500,0.0463,-0.9838,-0.0471,0.3662,0.4196,-1.2283,588.9228,-4193.1010,588.9228,,,,
No Name_S4,04/05/2023,16:19:33.600,0.0505,-1.0051,-0.0182,0.9537,-0.9460,-2.1744,1348.4653,-3433.5584,1348.4653,,,,
No Name_S4,04/05/2023,16:19:33.700,0.0499,-0.9948,-0.0381,0.4730,0.4501,-0.9613,1013.5018,-3768.5220,1013.5018,,,,
No Name_S4,04/05/2023,16:19:33.800,0.0495,-0.9954,-0.0364,0.3052,0.1755,-1.2589,1013.5018,-3768.5220,1013.5018,,,,TIMEMARK!
No Name_S4,04/05/2023,16:19:33.900,0.0719,-1.0088,-0.0369,0.8011,-0.7553,-0.9537,1071.5913,-3222.9474,1559.0764,,,,
No Name_S4,04/05/2023,16:19:34.000,0.0294,-0.9907,-0.0136,1.1978,-2.5787,1.8158,-242.8668,-198.2050,174.2686,Inactive,0.145980087464981,23.12,
No Name_S4,04/05/2023,16:19:34.100,0.0325,-0.9858,-0.0302,-0.4807,-0.9003,1.0834,13.5737,12.6980,-26.7095,,,,
No Name_S4,04/05/2023,16:19:34.200,0.0159,-0.9661,-0.0420,0.0305,-0.1602,-0.0839,47.5809,21.6011,-18.0982,,,,
No Name_S4,04/05/2023,16:19:34.300,0.0421,-0.9974,-0.0310,1.5335,0.3128,-2.8381,47.5809,21.6011,-18.0982,,,,
No Name_S4,04/05/2023,16:19:34.400,0.0425,-1.0015,-0.0128,1.7166,0.4578,-2.2430,65.6791,19.5578,-13.1358,,,,
No Name_S4,04/05/2023,16:19:34.500,0.0574,-1.0126,-0.0165,0.7324,0.4959,-2.0752,63.3439,19.2659,0.8757,,,,
No Name_S4,04/05/2023,16:19:34.600,0.0441,-0.9963,-0.0302,-0.1297,0.3662,-0.0153,56.9219,20.1416,2.6272,,,,
No Name_S4,04/05/2023,16:19:34.700,0.0417,-0.9937,-0.0267,0.5646,-0.3815,-0.0839,54.7326,22.6228,2.4812,,,,
No Name_S4,04/05/2023,16:19:34.800,0.0394,-1.0010,-0.0189,0.3281,-1.2970,-0.5875,53.4190,21.0173,2.3353,,,,
