TagID,Date,Time,accX,accY,accZ,Activity,Depth,Temp. (?C),Metadata
02_S1,04/05/2023,16:19:26.000,-0.9175,0.0965,0.0380,Active,0,-397.7,
02_S1,04/05/2023,16:19:26.100,-0.9996,0.0605,0.0922,,,,
02_S1,04/05/2023,16:19:26.200,-0.9704,0.1196,0.0739,,,,
02_S1,04/05/2023,16:19:26.300,-0.9428,0.1378,0.0845,,,,
02_S1,04/05/2023,16:19:26.400,-0.9910,0.0947,0.1248,,,,
02_S1,04/05/2023,16:19:26.500,-1.0096,0.0475,0.1291,,,,
02_S1,04/05/2023,16:19:26.600,-0.9575,0.1206,0.0521,,,,
02_S1,04/05/2023,16:19:26.700,-0.9672,0.0965,0.1090,,,,
02_S1,04/05/2023,16:19:26.800,-0.9595,0.1169,0.0682,,,,
02_S1,04/05/2023,16:19:26.900,-0.9613,0.1012,0.0761,,,,
02_S1,04/05/2023,16:19:27.000,-0.9918,0.1103,0.0778,Inactive,0,22.82,
02_S1,04/05/2023,16:19:27.100,-0.9615,0.1340,0.1060,,,,
02_S1,04/05/2023,16:19:27.200,-0.9794,0.0861,0.0712,,,,
02_S1,04/05/2023,16:19:27.300,-0.9809,0.0935,0.0709,,,,
02_S1,04/05/2023,16:19:27.400,-0.9677,0.1313,0.0970,,,,
02_S1,04/05/2023,16:19:27.500,-0.9713,0.1218,0.1035,,,,
02_S1,04/05/2023,16:19:27.600,-0.9730,0.0932,0.0896,,,,
02_S1,04/05/2023,16:19:27.700,-0.9822,0.1022,0.0936,,,,
02_S1,04/05/2023,16:19:27.800,-0.9749,0.1010,0.0724,,,,
02_S1,04/05/2023,16:19:27.900,-0.9649,0.0990,0.0744,,,,
02_S1,04/05/2023,16:19:28.000,-0.9716,0.1092,0.0764,Inactive,0,22.81,
02_S1,04/05/2023,16:19:28.100,-0.9651,0.1258,0.0874,,,,
02_S1,04/05/2023,16:19:28.200,-0.9727,0.1092,0.0791,,,,
02_S1,04/05/2023,16:19:28.300,-0.9768,0.0952,0.0656,,,,
02_S1,04/05/2023,16:19:28.400,-0.9724,0.1132,0.0828,,,,
02_S1,04/05/2023,16:19:28.500,-0.9702,0.1100,0.0717,,,,
02_S1,04/05/2023,16:19:28.600,-0.9730,0.1025,0.0651,,,,TIMEMARK!
02_S1,04/05/2023,16:19:28.700,-0.9753,0.1063,0.0641,,,,
02_S1,04/05/2023,16:19:28.800,-0.9727,0.1149,0.0681,,,,
02_S1,04/05/2023,16:19:28.900,-0.9772,0.1109,0.0656,,,,
02_S1,04/05/2023,16:19:29.000,-0.9744,0.1110,0.0668,Inactive,0.00633356663633151,22.84,
02_S1,04/05/2023,16:19:29.100,-0.9759,0.1116,0.0698,,,,
02_S1,04/05/2023,16:19:29.200,-0.9772,0.1076,0.0656,,,,
02_S1,04/05/2023,16:19:29.300,-0.9753,0.1086,0.0696,,,,
02_S1,04/05/2023,16:19:29.400,-0.9736,0.1143,0.0724,,,,
02_S1,04/05/2023,16:19:29.500,-0.9755,0.1102,0.0735,,,,
02_S1,04/05/2023,16:19:29.600,-0.9793,0.1069,0.0673,,,,
02_S1,04/05/2023,16:19:29.700,-0.9700,0.1171,0.0613,,,,
02_S1,04/05/2023,16:19:29.800,-0.9615,0.1058,0.0605,,,,
02_S1,04/05/2023,16:19:29.900,-0.9676,0.0777,-0.0162,,,,
02_S1,04/05/2023,16:19:30.000,-0.9709,0.2130,0.2281,Inactive,0.00586285830793947,22.84,
02_S1,04/05/2023,16:19:30.100,-0.9630,0.0056,0.0287,,,,
02_S1,04/05/2023,16:19:30.200,-1.0034,0.1730,0.0888,,,,
02_S1,04/05/2023,16:19:30.300,-0.9397,0.1179,0.0678,,,,
02_S1,04/05/2023,16:19:30.400,-0.9973,0.1034,0.0708,,,,
02_S1,04/05/2023,16:19:30.500,-0.9678,0.1118,0.0774,,,,
02_S1,04/05/2023,16:19:30.600,-0.9699,0.1068,0.0705,,,,
02_S1,04/05/2023,16:19:30.700,-0.9764,0.1085,0.0676,,,,
02_S1,04/05/2023,16:19:30.800,-0.9672,0.1210,0.0810,,,,
02_S1,04/05/2023,16:19:30.900,-0.9819,0.0848,0.0745,,,,
02_S1,04/05/2023,16:19:31.000,0.0000,0.0000,0.0000,Inactive,,21,Power off command received.
