TagID,Date,Time,accX,accY,accZ,magX,magY,magZ,Temp. (?C),Metadata
Axy-2_S2,04/05/2023,14:34:49.000,-1.000,-0.031,0.094,496.5,33.0,1275.0,25,
Axy-2_S2,04/05/2023,14:34:50.000,-0.969,-0.031,0.078,496.5,10.5,1294.5,,
Axy-2_S2,04/05/2023,14:34:51.000,-0.985,-0.031,0.094,520.5,27.0,1293.0,,
Axy-2_S2,04/05/2023,14:34:52.000,-0.969,-0.031,0.078,496.5,34.5,1281.0,,
Axy-2_S2,04/05/2023,14:34:53.000,-0.969,-0.031,0.063,493.5,31.5,1279.5,,
Axy-2_S2,04/05/2023,14:34:54.000,-0.985,-0.016,0.078,504.0,22.5,1273.5,,
Axy-2_S2,04/05/2023,14:34:55.000,-0.985,-0.047,0.063,505.5,30.0,1281.0,,
Axy-2_S2,04/05/2023,14:34:56.000,-0.969,-0.031,0.078,501.0,16.5,1279.5,,
Axy-2_S2,04/05/2023,14:34:57.000,-0.969,-0.031,0.063,499.5,22.5,1267.5,,
Axy-2_S2,04/05/2023,14:34:58.000,-0.969,-0.047,0.063,516.0,91.5,1360.5,,
Axy-2_S2,04/05/2023,14:34:59.000,-0.985,-0.031,0.063,-12411.0,570.0,23734.5,,
Axy-2_S2,04/05/2023,14:35:00.000,-0.985,-0.031,0.078,-1449.0,-49.5,5311.5,,
Axy-2_S2,04/05/2023,14:35:01.000,-1.000,-0.047,0.047,391.5,36.0,1747.5,,
Axy-2_S2,04/05/2023,14:35:02.000,-0.969,-0.031,0.063,436.5,39.0,1678.5,,
Axy-2_S2,04/05/2023,14:35:03.000,-1.000,-0.031,0.078,433.5,55.5,1678.5,,
Axy-2_S2,04/05/2023,14:35:04.000,-0.985,-0.031,0.063,-11997.0,1620.0,6783.0,,
Axy-2_S2,04/05/2023,14:35:05.000,-0.985,-0.016,0.063,-11809.5,-333.0,7054.5,,
Axy-2_S2,04/05/2023,14:35:06.000,-0.969,-0.031,0.125,-64.5,28.5,1353.0,,
Axy-2_S2,04/05/2023,14:35:06.000,0.000,0.000,0.000,,,,25,Power off command received.
