TagID,Date,Time,accX,accY,accZ,Temp. (?C),Metadata
3_S4,04/05/2023,14:49:07.000,-0.047,0.031,0.985,22,
3_S4,04/05/2023,14:49:07.100,-0.047,0.017,0.999,,
3_S4,04/05/2023,14:49:07.200,-0.047,0.028,1.000,,
3_S4,04/05/2023,14:49:07.300,-0.058,0.031,0.989,,
3_S4,04/05/2023,14:49:07.400,-0.063,0.031,0.985,,
3_S4,04/05/2023,14:49:07.500,-0.063,0.023,1.000,,
3_S4,04/05/2023,14:49:07.600,-0.063,0.016,1.010,,
3_S4,04/05/2023,14:49:07.700,-0.063,0.016,0.996,,
3_S4,04/05/2023,14:49:07.800,-0.063,0.016,0.985,,
3_S4,04/05/2023,14:49:07.900,-0.063,0.016,0.985,,
3_S4,04/05/2023,14:49:08.000,-0.063,0.000,1.032,,
3_S4,04/05/2023,14:49:08.100,-0.047,0.016,0.985,,
3_S4,04/05/2023,14:49:08.200,-0.078,0.000,0.985,,
3_S4,04/05/2023,14:49:08.300,-0.063,0.031,1.016,,
3_S4,04/05/2023,14:49:08.400,-0.078,0.031,1.000,,
3_S4,04/05/2023,14:49:08.500,-0.063,0.016,1.000,,
3_S4,04/05/2023,14:49:08.600,-0.063,0.016,0.985,,
3_S4,04/05/2023,14:49:08.700,-0.063,0.016,1.016,,
3_S4,04/05/2023,14:49:08.800,-0.047,0.016,0.985,,
3_S4,04/05/2023,14:49:08.900,-0.078,0.016,1.016,,
3_S4,04/05/2023,14:49:09.000,-0.063,0.016,1.000,,
3_S4,04/05/2023,14:49:09.100,-0.063,0.000,1.000,,
3_S4,04/05/2023,14:49:09.200,-0.063,0.031,1.016,,
3_S4,04/05/2023,14:49:09.300,-0.063,0.047,0.985,,
3_S4,04/05/2023,14:49:09.400,-0.063,0.016,1.016,,
3_S4,04/05/2023,14:49:09.500,-0.047,0.031,1.016,,
3_S4,04/05/2023,14:49:09.600,-0.063,0.016,1.000,,
3_S4,04/05/2023,14:49:09.700,-0.063,0.000,0.985,,
3_S4,04/05/2023,14:49:09.800,-0.047,0.016,0.985,,
3_S4,04/05/2023,14:49:09.900,-0.078,0.016,1.000,,
3_S4,04/05/2023,14:49:10.000,-0.047,0.000,1.000,,
3_S4,04/05/2023,14:49:10.100,-0.078,-0.016,1.000,,
3_S4,04/05/2023,14:49:10.200,-0.031,0.016,1.000,,
3_S4,04/05/2023,14:49:10.300,-0.063,0.016,1.000,,
3_S4,04/05/2023,14:49:10.400,-0.078,0.016,1.016,,
3_S4,04/05/2023,14:49:10.500,-0.078,0.016,1.016,,
3_S4,04/05/2023,14:49:10.600,-0.047,0.031,1.000,,
3_S4,04/05/2023,14:49:10.700,-0.078,0.016,0.985,,
3_S4,04/05/2023,14:49:10.800,-0.047,0.047,1.000,,
3_S4,04/05/2023,14:49:10.900,-0.063,0.031,1.000,,
3_S4,04/05/2023,14:49:11.000,-0.063,0.016,1.000,,
3_S4,04/05/2023,14:49:11.100,-0.063,0.016,1.000,,
3_S4,04/05/2023,14:49:11.200,-0.050,0.003,1.013,,
3_S4,04/05/2023,14:49:11.300,-0.069,0.011,0.994,,
3_S4,04/05/2023,14:49:11.400,-0.078,0.016,0.994,,
3_S4,04/05/2023,14:49:11.500,-0.078,0.016,1.000,,
3_S4,04/05/2023,14:49:11.600,-0.078,0.003,0.994,,
3_S4,04/05/2023,14:49:11.700,-0.073,-0.006,0.985,,
3_S4,04/05/2023,14:49:11.800,-0.063,0.016,0.988,,
3_S4,04/05/2023,14:49:11.900,-0.063,0.016,1.000,,
3_S4,04/05/2023,14:49:12.000,-0.078,0.031,0.985,21,
3_S4,04/05/2023,14:49:12.100,-0.063,0.000,1.000,,
3_S4,04/05/2023,14:49:12.200,-0.063,0.016,1.000,,
3_S4,04/05/2023,14:49:12.300,-0.063,0.000,1.000,,
3_S4,04/05/2023,14:49:12.400,-0.063,0.016,0.985,,
3_S4,04/05/2023,14:49:12.500,-0.063,0.000,1.016,,
3_S4,04/05/2023,14:49:12.600,-0.078,0.016,0.985,,
3_S4,04/05/2023,14:49:12.700,-0.078,0.016,1.000,,
3_S4,04/05/2023,14:49:12.800,-0.063,0.016,1.000,,
3_S4,04/05/2023,14:49:12.900,-0.094,0.000,1.000,,
3_S4,04/05/2023,14:49:13.000,-0.063,0.016,0.985,,
3_S4,04/05/2023,14:49:13.100,-0.063,0.031,1.000,,
3_S4,04/05/2023,14:49:13.200,-0.078,0.016,1.000,,
3_S4,04/05/2023,14:49:13.300,-0.078,0.016,1.000,,
3_S4,04/05/2023,14:49:13.400,-0.078,0.016,1.016,,
3_S4,04/05/2023,14:49:13.500,-0.063,0.031,0.985,,
3_S4,04/05/2023,14:49:13.600,-0.156,-0.047,0.985,,
3_S4,04/05/2023,14:49:13.700,-0.063,0.047,0.985,,
3_S4,04/05/2023,14:49:13.800,-0.125,0.000,0.985,,
3_S4,04/05/2023,14:49:13.900,-0.063,0.031,1.016,,
3_S4,04/05/2023,14:49:14.000,-0.078,0.078,1.000,,
3_S4,04/05/2023,14:49:14.100,-0.047,0.141,0.985,,
3_S4,04/05/2023,14:49:14.200,-0.094,0.141,0.985,,
3_S4,04/05/2023,14:49:14.300,-0.141,0.125,0.953,,
3_S4,04/05/2023,14:49:14.400,-0.125,0.125,0.985,,
3_S4,04/05/2023,14:49:14.500,-0.078,0.141,1.000,,
3_S4,04/05/2023,14:49:14.600,-0.109,0.141,0.985,,
3_S4,04/05/2023,14:49:14.700,-0.094,0.125,1.000,,
3_S4,04/05/2023,14:49:14.800,-0.063,0.109,1.016,,
3_S4,04/05/2023,14:49:14.900,-0.078,0.109,0.985,,
3_S4,04/05/2023,14:49:15.000,-0.109,0.109,0.969,,
3_S4,04/05/2023,14:49:15.100,-0.067,0.123,0.997,,
3_S4,04/05/2023,14:49:15.200,-0.088,0.138,0.988,,
3_S4,04/05/2023,14:49:15.300,-0.105,0.119,0.985,,
3_S4,04/05/2023,14:49:15.400,-0.091,0.128,0.985,,
3_S4,04/05/2023,14:49:15.500,-0.094,0.125,0.977,,
3_S4,04/05/2023,14:49:15.600,-0.103,0.116,0.982,,
3_S4,04/05/2023,14:49:15.700,-0.094,0.116,0.991,,
3_S4,04/05/2023,14:49:15.800,-0.094,0.094,0.972,,
3_S4,04/05/2023,14:49:15.900,-0.094,0.094,0.985,,
3_S4,04/05/2023,14:49:16.000,-0.047,0.109,1.032,,
3_S4,04/05/2023,14:49:16.100,-0.094,0.109,1.000,,
3_S4,04/05/2023,14:49:16.200,-0.109,0.078,1.000,,
3_S4,04/05/2023,14:49:16.300,-0.016,0.109,1.032,,
